,View,KCC_space,TSNE,perplexity,random_state,silhouette_score
1,contextual,3,True,5,0,0.4205636978149414
2,contextual,3,True,5,1,0.4153439700603485
3,contextual,3,True,5,2,0.4069296419620514
4,contextual,3,True,5,3,0.42584899067878723
5,contextual,3,True,5,4,0.4232798218727112
6,contextual,3,True,5,5,0.41235849261283875
7,contextual,3,True,5,6,0.402965784072876
8,contextual,3,True,5,7,0.40894776582717896
9,contextual,3,True,5,8,0.4327389895915985
10,contextual,3,True,5,9,0.4243599474430084
11,contextual,3,True,10,0,0.47460266947746277
12,contextual,3,True,10,1,0.46731045842170715
13,contextual,3,True,10,2,0.498306542634964
14,contextual,3,True,10,3,0.4855324625968933
15,contextual,3,True,10,4,0.4960917830467224
16,contextual,3,True,10,5,0.5060340166091919
17,contextual,3,True,10,6,0.5177541971206665
18,contextual,3,True,10,7,0.49708205461502075
19,contextual,3,True,10,8,0.5241699814796448
20,contextual,3,True,10,9,0.4870079755783081
21,contextual,3,True,20,0,0.6184632182121277
22,contextual,3,True,20,1,0.5866536498069763
23,contextual,3,True,20,2,0.5731474161148071
24,contextual,3,True,20,3,0.5700815916061401
25,contextual,3,True,20,4,0.5643501877784729
26,contextual,3,True,20,5,0.5623413324356079
27,contextual,3,True,20,6,0.6208929419517517
28,contextual,3,True,20,7,0.5391153693199158
29,contextual,3,True,20,8,0.5809332728385925
30,contextual,3,True,20,9,0.5732116103172302
31,contextual,3,True,30,0,0.5597872734069824
32,contextual,3,True,30,1,0.5719656348228455
33,contextual,3,True,30,2,0.574781060218811
34,contextual,3,True,30,3,0.5703585743904114
35,contextual,3,True,30,4,0.5658711194992065
36,contextual,3,True,30,5,0.5763162970542908
37,contextual,3,True,30,6,0.5988439321517944
38,contextual,3,True,30,7,0.5650042295455933
39,contextual,3,True,30,8,0.5911493897438049
40,contextual,3,True,30,9,0.5652549266815186
41,contextual,3,True,50,0,0.5230099558830261
42,contextual,3,True,50,1,0.541477382183075
43,contextual,3,True,50,2,0.5254539251327515
44,contextual,3,True,50,3,0.5460838675498962
45,contextual,3,True,50,4,0.5220869779586792
46,contextual,3,True,50,5,0.5256526470184326
47,contextual,3,True,50,6,0.5281988978385925
48,contextual,3,True,50,7,0.5217480063438416
49,contextual,3,True,50,8,0.5005676746368408
50,contextual,3,True,50,9,0.5316261649131775
51,contextual,3,False,NA,NA,0.35426918243970457
52,contextual,4,True,5,0,0.4313635528087616
53,contextual,4,True,5,1,0.4365113079547882
54,contextual,4,True,5,2,0.4491633474826813
55,contextual,4,True,5,3,0.45455995202064514
56,contextual,4,True,5,4,0.4517251253128052
57,contextual,4,True,5,5,0.44556108117103577
58,contextual,4,True,5,6,0.4557846784591675
59,contextual,4,True,5,7,0.45507121086120605
60,contextual,4,True,5,8,0.4482153356075287
