,View,KCC_space,TSNE,perplexity,random_state,silhouette_score
1,physio,3,True,5,0,0.4432082772254944
2,physio,3,True,5,1,0.45379307866096497
3,physio,3,True,5,2,0.4471760392189026
4,physio,3,True,5,3,0.4586937129497528
5,physio,3,True,5,4,0.450907438993454
6,physio,3,True,5,5,0.44534555077552795
7,physio,3,True,5,6,0.46947768330574036
8,physio,3,True,5,7,0.47638294100761414
9,physio,3,True,5,8,0.456295371055603
10,physio,3,True,5,9,0.44419345259666443
11,physio,3,True,10,0,0.5117623805999756
12,physio,3,True,10,1,0.5074145793914795
13,physio,3,True,10,2,0.4984115958213806
14,physio,3,True,10,3,0.511101245880127
15,physio,3,True,10,4,0.5067650675773621
16,physio,3,True,10,5,0.4805876612663269
17,physio,3,True,10,6,0.5249209403991699
18,physio,3,True,10,7,0.5049614310264587
19,physio,3,True,10,8,0.4386642277240753
20,physio,3,True,10,9,0.49708324670791626
21,physio,3,True,20,0,0.5171706676483154
22,physio,3,True,20,1,0.5203986167907715
23,physio,3,True,20,2,0.5066919326782227
24,physio,3,True,20,3,0.5072805881500244
25,physio,3,True,20,4,0.5111997723579407
26,physio,3,True,20,5,0.5166255235671997
27,physio,3,True,20,6,0.5106790065765381
28,physio,3,True,20,7,0.5111047625541687
29,physio,3,True,20,8,0.5057142972946167
30,physio,3,True,20,9,0.5161765217781067
31,physio,3,True,30,0,0.5162171125411987
32,physio,3,True,30,1,0.5136042237281799
33,physio,3,True,30,2,0.5158495903015137
34,physio,3,True,30,3,0.5132758617401123
35,physio,3,True,30,4,0.5133243799209595
36,physio,3,True,30,5,0.5123867988586426
37,physio,3,True,30,6,0.5128251314163208
38,physio,3,True,30,7,0.5139392614364624
39,physio,3,True,30,8,0.5124006271362305
40,physio,3,True,30,9,0.5123573541641235
41,physio,3,True,50,0,0.5139454007148743
42,physio,3,True,50,1,0.5161653161048889
43,physio,3,True,50,2,0.5284445285797119
44,physio,3,True,50,3,0.518096387386322
45,physio,3,True,50,4,0.5212613344192505
46,physio,3,True,50,5,0.5193179249763489
47,physio,3,True,50,6,0.5245163440704346
48,physio,3,True,50,7,0.5197197198867798
49,physio,3,True,50,8,0.5202429294586182
50,physio,3,True,50,9,0.5205401182174683
51,physio,3,False,NA,NA,0.40404521817794925
52,physio,4,True,5,0,0.464607298374176
53,physio,4,True,5,1,0.4947579801082611
54,physio,4,True,5,2,0.4466741979122162
55,physio,4,True,5,3,0.47827768325805664
56,physio,4,True,5,4,0.5048516988754272
57,physio,4,True,5,5,0.4819585084915161
58,physio,4,True,5,6,0.46290379762649536
59,physio,4,True,5,7,0.48884743452072144
60,physio,4,True,5,8,0.49103328585624695
61,physio,4,True,5,9,0.44916921854019165
62,physio,4,True,10,0,0.49505379796028137
63,physio,4,True,10,1,0.5074383020401001
64,physio,4,True,10,2,0.5224316716194153
65,physio,4,True,10,3,0.5008464455604553
66,physio,4,True,10,4,0.4875638782978058
67,physio,4,True,10,5,0.5032748579978943
68,physio,4,True,10,6,0.5066949129104614
69,physio,4,True,10,7,0.5109899640083313
70,physio,4,True,10,8,0.5026271939277649
71,physio,4,True,10,9,0.4911155700683594
72,physio,4,True,20,0,0.5004702806472778
73,physio,4,True,20,1,0.5290630459785461
74,physio,4,True,20,2,0.528386652469635
75,physio,4,True,20,3,0.5250817537307739
76,physio,4,True,20,4,0.5225183963775635
77,physio,4,True,20,5,0.5085470676422119
78,physio,4,True,20,6,0.5146493911743164
79,physio,4,True,20,7,0.5148093104362488
80,physio,4,True,20,8,0.50216144323349
81,physio,4,True,20,9,0.5058472156524658
82,physio,4,True,30,0,0.5043613314628601
83,physio,4,True,30,1,0.5065749287605286
84,physio,4,True,30,2,0.4987533390522003
85,physio,4,True,30,3,0.49862414598464966
86,physio,4,True,30,4,0.49175122380256653
87,physio,4,True,30,5,0.5199782848358154
88,physio,4,True,30,6,0.5256474018096924
89,physio,4,True,30,7,0.5025791525840759
90,physio,4,True,30,8,0.49396058917045593
91,physio,4,True,30,9,0.5029946565628052
92,physio,4,True,50,0,0.4921327829360962
93,physio,4,True,50,1,0.48432934284210205
94,physio,4,True,50,2,0.48237699270248413
95,physio,4,True,50,3,0.4874720573425293
96,physio,4,True,50,4,0.47864365577697754
97,physio,4,True,50,5,0.48933517932891846
98,physio,4,True,50,6,0.5112355947494507
99,physio,4,True,50,7,0.49556058645248413
100,physio,4,True,50,8,0.5055067539215088
101,physio,4,True,50,9,0.4886358380317688
102,physio,4,False,NA,NA,0.301970140624126
103,physio,5,True,5,0,0.467132568359375
104,physio,5,True,5,1,0.4550918936729431
105,physio,5,True,5,2,0.47170311212539673
106,physio,5,True,5,3,0.42900511622428894
107,physio,5,True,5,4,0.45535191893577576
108,physio,5,True,5,5,0.44490525126457214
109,physio,5,True,5,6,0.468530535697937
110,physio,5,True,5,7,0.45315834879875183
111,physio,5,True,5,8,0.457307904958725
