,F_stat,p-value
Q08334,34.5939623268465,9.709680551509856e-05
infections_PC_24,4.665096115904013,0.03155646179240703
O43557,53.27908856917492,9.709680551509856e-05
P19429,15.519612287266101,0.00019419361103019712
P01583,3.622596608347519,0.06126808428002719
P01135,64.06172960144983,9.709680551509856e-05
P68106,16.31962914495199,9.709680551509856e-05
P80511,51.26977216308174,9.709680551509856e-05
P15692,41.53327066056903,9.709680551509856e-05
P48740,21.40420240138087,9.709680551509856e-05
P51617,129.61384927175158,9.709680551509856e-05
P06127,32.05448948693365,9.709680551509856e-05
Q9NP99,13.539261700494773,0.0005825808330905913
demographics_PC_6,16.043780357724984,9.709680551509856e-05
infections_PC_31,3.0675125391522724,0.07806583163413924
Q99616,28.596344145000444,9.709680551509856e-05
P14210,40.57268935660618,9.709680551509856e-05
O60449,30.316765222481486,9.709680551509856e-05
Q9HCM2,85.85731785643998,9.709680551509856e-05
P13725,64.36763977328158,9.709680551509856e-05
P13500,18.73964596721526,0.00019419361103019712
Q14116,19.91827617776321,0.00019419361103019712
P52823,28.538550684317176,9.709680551509856e-05
P10747,62.337262085186396,9.709680551509856e-05
Q969D9,0.6836291543232607,0.4107194873288669
Q15165,22.956606630669558,9.709680551509856e-05
P29460,12.266374292256113,0.0004854840275754928
P01732,19.97436689178228,9.709680551509856e-05
P09603,23.399850493745614,9.709680551509856e-05
P20711,2.372514751785093,0.11933197397805612
P25942,36.12581947963674,9.709680551509856e-05
O14788,32.664791206225814,9.709680551509856e-05
Q04759,35.0363967407355,9.709680551509856e-05
P10147,33.30744190183027,9.709680551509856e-05
P01137,126.60533220546307,9.709680551509856e-05
Q8IU57,36.06953052718862,9.709680551509856e-05
context_PC_12,3.0896684785291093,0.07806583163413924
P09341,17.95043163812686,0.00019419361103019712
Q9NR28,9.86759412174929,0.0026216137489076608
Q6ZUJ8,69.08761808958268,9.709680551509856e-05
Q96RT1,124.5008975665542,9.709680551509856e-05
P98082,68.72947353520823,9.709680551509856e-05
P30203,57.2284439937958,9.709680551509856e-05
P80162,23.176882863552894,0.00019419361103019712
demographics_PC_1,0.3876908680063602,0.5548111467132731
Q99748,1.246541202930982,0.27264782988639674
P50591,38.50905446439489,9.709680551509856e-05
P09038,43.36931397518248,9.709680551509856e-05
Q96PD2,21.913269654345793,0.00019419361103019712
Q9H5V8,18.034264225134915,0.00019419361103019712
P51693,10.5685293497379,0.001553548888241577
Q8WXI8,92.79077827736512,9.709680551509856e-05
pao2.low,0.001945347560385042,0.9678609573745024
infections_PC_2,0.007484478499775664,0.929119331973978
P28325,0.9552540905053081,0.33226526847266724
O60240,2.379195637672881,0.12535197591999223
Q0Z7S8,60.96731720281653,9.709680551509856e-05
Q6UXB4,21.602709953183354,9.709680551509856e-05
Q6WN34,4.748121177089475,0.03213904262549762
O14867,105.40987913553558,9.709680551509856e-05
Q07065,94.51984135217047,9.709680551509856e-05
Q7Z6M3,11.950673778238283,0.0013593552772113797
Q16552,17.684450711110305,0.00019419361103019712
P50135,2.632694969744609,0.10884551898242548
O00273,83.50062298831232,9.709680551509856e-05
Q96DB9,48.67340175530994,9.709680551509856e-05
P50995,44.89588141731035,9.709680551509856e-05
P42658,3.2489216964418675,0.07126905524808234
P58499,70.8028828480583,9.709680551509856e-05
P09525,12.547568866112965,0.000873871249635887
P01138,52.67302580863124,9.709680551509856e-05
pelod.cvs,2.278410188811911,0.13214875230604914
P78362,26.76884351149311,9.709680551509856e-05
P80075,22.421317350153753,9.709680551509856e-05
Q03431,52.60859971170957,9.709680551509856e-05
P13236,72.04966394173485,9.709680551509856e-05
P30044,155.91483833772253,9.709680551509856e-05
P07947,73.77088535189611,9.709680551509856e-05
demographics_PC_4,2.2103942405713086,0.13787746383143995
P42768,76.52449693912516,9.709680551509856e-05
Q8N1Q1,65.53602712304631,9.709680551509856e-05
P00749,40.80139145062893,9.709680551509856e-05
infections_PC_30,21.010155967843144,9.709680551509856e-05
Q01151,78.1989364488789,9.709680551509856e-05
P16083,9.771586829994146,0.003204194581998252
P10145,4.051889898576197,0.040295174288765896
P52294,4.682210056493221,0.026798718322167202
infections_PC_25,0.0006843363725353115,0.9797067676473444
P01374,46.478973509062335,9.709680551509856e-05
O15444,39.51067004399626,9.709680551509856e-05
Q13478,26.98452861268918,9.709680551509856e-05
Q8NHJ6,14.011556833039883,0.0004854840275754928
Q9UQV4,5.711671630347927,0.01873968346441402
P25815,58.08705428930856,9.709680551509856e-05
Q9BXN2,97.5416988817294,9.709680551509856e-05
Q86SJ6,158.68452691370007,9.709680551509856e-05
P78410,41.683581329392,9.709680551509856e-05
Q05516,61.66875786048628,9.709680551509856e-05
P49788,1.0695072736023428,0.29983493543062434
O95630,92.22861656629829,9.709680551509856e-05
demographics_PC_2,4.615944509888651,0.03165355859792213
context_PC_4,82.49677438537711,9.709680551509856e-05
Q9UNK0,88.55467135652283,9.709680551509856e-05
Q15797,60.400824455438226,9.709680551509856e-05
Q8NFT8,37.26619297483024,9.709680551509856e-05
infections_PC_29,1.0926969942538096,0.30488396931740946
Q15661,27.563320841511207,9.709680551509856e-05
Q9UNE0,46.00462526231702,9.709680551509856e-05
lactate.high,3.686219765489095,0.05243227497815322
O43736,35.22464880485606,9.709680551509856e-05
P35225,2.7712610652808376,0.09661132148752306
Q12913,72.6940500182253,9.709680551509856e-05
P00813,49.661955149115286,9.709680551509856e-05
O00161,99.01719297190436,9.709680551509856e-05
O95760,4.164221025228479,0.040003883872220605
P55773,18.876280770473713,9.709680551509856e-05
O14713,18.55414757525137,9.709680551509856e-05
O76036,99.16763811629824,9.709680551509856e-05
O95750,16.340168279419352,0.00029129041654529564
P01375,36.55291537245662,9.709680551509856e-05
Q06418,3.115513765978527,0.0806874453830469
O75791,76.22200388184258,9.709680551509856e-05
context_PC_14,5.579495207575847,0.020584522769200895
P42830,109.01603825521,9.709680551509856e-05
sato2.low,13.489268126829641,0.0006796776386056899
P09238,15.490415688581852,0.00019419361103019712
infections_PC_10,3.427244292194109,0.06204485872414797
infections_PC_4,34.62472576652033,9.709680551509856e-05
O00300,11.676936029373982,0.0011651616661811825
P43234,19.366689107562543,9.709680551509856e-05
O43508,24.16896077697306,0.00019419361103019712
Q9GZV9,45.45695970994242,9.709680551509856e-05
Q9HBB8,2.0926791932097677,0.1486552092436159
temp.high,8.237633295533481,0.003689678609573745
infections_PC_22,1.4414413877683863,0.2280803961549665
infections_PC_9,1.1263534886782662,0.2947859015438392
Q13241,64.66556842606514,9.709680551509856e-05
P55957,41.61965396712893,9.709680551509856e-05
P20472,50.367214501829615,9.709680551509856e-05
P46109,114.04339960108607,9.709680551509856e-05
context_PC_10,8.312103330155926,0.004757743470239829
Q14435,18.96378625732519,0.00019419361103019712
Q14203,77.57340015798627,9.709680551509856e-05
O60880,55.4067751463491,9.709680551509856e-05
P50225,54.46829845491121,9.709680551509856e-05
P48730,18.72378250408002,9.709680551509856e-05
Q8WTT0,59.895477689780606,9.709680551509856e-05
Q9NPH0,37.93276759100857,9.709680551509856e-05
infections_PC_15,1.61722527215949,0.1941936110301971
P07332,24.845070526483756,9.709680551509856e-05
crea.high,3.8327191972133416,0.03932420623361491
infections_PC_1,4.507638752954868,0.03495484998543548
P26010,30.99158855418955,9.709680551509856e-05
Q9UKX5,9.353197514096504,0.002330323332362365
O43597,62.22664222809319,9.709680551509856e-05
O75356,20.551285974452068,0.00019419361103019712
P42702,11.977308835045294,0.0011651616661811825
Q13490,97.25102656654863,9.709680551509856e-05
Q04637,110.29926694273152,9.709680551509856e-05
context_PC_1,1.0501418971899452,0.30692300223322655
P35070,21.534640490935402,9.709680551509856e-05
Q8NI22,13.7492793707593,0.00038838722206039424
P15018,6.837517897103545,0.010000970968055151
P27540,1.0124324874466708,0.31245752014758715
O94992,115.36410865476294,9.709680551509856e-05
infections_PC_26,2.2269368336543875,0.13758617341489465
Q14790,49.748708358200595,9.709680551509856e-05
infections_PC_6,0.6537884473868507,0.4163511020487426
Q8WVQ1,116.3500652785167,9.709680551509856e-05
Q8IZP9,68.94822472125371,9.709680551509856e-05
P01229,6.891469686191789,0.009709680551509855
cap.refill,14.774428930337855,0.0004854840275754928
Q9NWQ8,118.79805212490457,9.709680551509856e-05
Q9BQB4,26.207172933968764,9.709680551509856e-05
P52888,27.16108466756294,9.709680551509856e-05
P29474,52.759090797781106,9.709680551509856e-05
P09104,51.25667332941626,9.709680551509856e-05
O43240,36.01428989148967,9.709680551509856e-05
P80098,8.14778985635249,0.0038838722206039423
Q9BXJ7,30.229988363363212,9.709680551509856e-05
O75688,20.65026108183263,9.709680551509856e-05
Q12933,87.8849147279476,9.709680551509856e-05
infections_PC_14,0.1334081291987103,0.7097776483153704
O00186,26.325187592426207,9.709680551509856e-05
Q15517,79.8257670295342,9.709680551509856e-05
fio2.high,7.99279998188155,0.006505485969511603
Q9UHL4,13.175960675458668,0.0005825808330905913
context_PC_8,3.299312925055194,0.06825905427711429
psofa.resp,11.267963622817813,0.0009709680551509856
context_PC_15,0.2708303501767729,0.6024856782211865
P03956,17.657745619853348,9.709680551509856e-05
P61244,63.51987594871996,9.709680551509856e-05
pelod.score,4.7295968713626495,0.029080493251772015
P23526,11.191773620529089,0.0009709680551509856
infections_PC_13,0.417437901977391,0.5217011360326246
Q9Y5L3,15.966366985846554,0.00029129041654529564
Q16820,24.00349487689008,9.709680551509856e-05
infections_PC_7,4.249441959529931,0.03854743178949412
Q05084,71.10804325894313,9.709680551509856e-05
Q15155,3.421676651025316,0.0671909894164482
Q07011,139.18289096967976,9.709680551509856e-05
Q02880,229.7036389156086,9.709680551509856e-05
P19474,58.75388853330131,9.709680551509856e-05
Q13541,105.1158731231731,9.709680551509856e-05
P00352,1.1451702407626694,0.2853675114088747
context_PC_3,1.1014998330789918,0.28323138168754247
Q9UHC6,55.789718774068476,9.709680551509856e-05
P08727,0.18342893107963626,0.6667637634721818
Q9GZM7,0.5236393472105668,0.48111467132731334
psofa.ren,5.18362284401151,0.017768715409263034
P40818,93.41559046934745,9.709680551509856e-05
Q9Y478,59.90765454074592,9.709680551509856e-05
P14317,244.10269483888962,9.709680551509856e-05
P13611,2.2722497063761806,0.13292552675016991
Q86VZ4,17.40418176109758,0.00019419361103019712
infections_PC_37,15.230525401136411,0.00038838722206039424
P21964,56.81483900043686,9.709680551509856e-05
Q9P0M4,12.062652593850204,0.0005825808330905913
Q06830,13.63173058133503,0.00038838722206039424
P78423,3.9941391175331074,0.04388775609282455
P27797,39.638523345475996,9.709680551509856e-05
Q9NSA1,15.845208313219132,9.709680551509856e-05
Q9NRA1,2.7029123850353463,0.09835906398679484
O60760,1.1665019119614144,0.27643460530148556
Q9NY25,117.21862120567506,9.709680551509856e-05
psofa.score,1.4605696143160125,0.2349742693465385
P98073,18.534447588495617,9.709680551509856e-05
infections_PC_28,1.6830183389048874,0.19166909408680455
Q8IXJ6,99.32429602355514,9.709680551509856e-05
cons05.score,6.092537856272847,0.013836294785901544
inr.high,0.8594911869672988,0.35372366249150405
P16455,69.93051817846994,9.709680551509856e-05
wcc.high,70.19150901425894,9.709680551509856e-05
Q96D42,4.998119227691283,0.028060976793863483
Q8WTU2,50.40676214075032,9.709680551509856e-05
O75475,87.4336705218484,9.709680551509856e-05
Q00978,91.52730836424446,9.709680551509856e-05
Q9Y5K6,56.125547409692665,9.709680551509856e-05
Q8NBS9,73.57459615891437,9.709680551509856e-05
Q9C035,54.38710846289306,9.709680551509856e-05
O14625,44.71794442554573,9.709680551509856e-05
O95841,16.920303840526667,9.709680551509856e-05
P53582,3.4659334655369998,0.06146227789105738
Q9UKL0,53.54270584535387,9.709680551509856e-05
P23229,30.6749477142488,9.709680551509856e-05
Q15846,11.240997637988944,0.001068064860666084
Q9UKJ0,17.657744286149352,0.00019419361103019712
Q9BZW8,90.29204038410082,9.709680551509856e-05
O95544,169.81742186674995,9.709680551509856e-05
paco2.high,15.803825117115625,0.00029129041654529564
O43827,34.29209446563563,9.709680551509856e-05
Q13308,75.80533138482238,9.709680551509856e-05
infections_PC_21,0.30677273762189644,0.5807359937858044
P19022,63.99934915525479,9.709680551509856e-05
Q9GZT9,122.11811564568706,9.709680551509856e-05
P43629,17.280757294359002,0.00019419361103019712
context_PC_18,0.4335096360724796,0.5145159724245072
Q92692,31.05371850429402,9.709680551509856e-05
O43854,38.41427371422122,9.709680551509856e-05
Q9Y653,12.286354184787767,0.0004854840275754928
Q6DN72,26.378508375460658,9.709680551509856e-05
infections_PC_19,0.00022431239593565522,0.9869890280609768
P21583,13.936814231648762,0.0004854840275754928
Q9UN19,83.66951952907766,9.709680551509856e-05
O95786,61.05067355342915,9.709680551509856e-05
P35237,120.30496688254101,9.709680551509856e-05
context_PC_11,6.795699534119296,0.011360326245266531
Q9BZR6,24.495164706420475,9.709680551509856e-05
Q15116,27.5985298141301,9.709680551509856e-05
P28845,0.01250575587335242,0.9096028740654433
O60934,169.66583588741045,9.709680551509856e-05
lymph.low,38.975888649131356,9.709680551509856e-05
Q9UHF1,124.5945401614653,9.709680551509856e-05
Q9GZY6,131.8120504519229,9.709680551509856e-05
wcc.low,68.3004496543871,9.709680551509856e-05
Q76M96,60.04245704563514,9.709680551509856e-05
P14784,3.5305344339476474,0.0607826002524517
Q86SR1,90.65146206775465,9.709680551509856e-05
Q8NDB2,100.62314951787371,9.709680551509856e-05
P35240,4.975714166758583,0.024565491795319933
infections_PC_17,0.011686150972243134,0.9112535197591999
O75569,156.4191593195404,9.709680551509856e-05
P50452,81.69619023501137,9.709680551509856e-05
P18627,21.728615306877202,9.709680551509856e-05
context_PC_2,192.78785715502602,9.709680551509856e-05
P50749,124.03573299150317,9.709680551509856e-05
rr.high,41.430513436954364,9.709680551509856e-05
context_PC_6,1.0471539958662743,0.3018739683464414
P27695,146.09647422473574,9.709680551509856e-05
P20936,1.0586086460887805,0.3021652587629867
Q86WD7,106.41774023856458,9.709680551509856e-05
Q9NZQ7,0.07050018219756862,0.7915331585590835
O95502,1.2154802018199853,0.27216234585882126
P20783,13.437876177736753,0.0011651616661811825
Q99731,15.257053430187403,0.00029129041654529564
infections_PC_33,0.7637432419218307,0.3792601223419749
O15357,69.32760982386681,9.709680551509856e-05
psofa.cvs,2.544701872069043,0.1105447130789397
P49771,61.132202913729856,9.709680551509856e-05
pelod.cns,2.594742038638943,0.08141567142441014
Q96LA6,247.81917157576143,9.709680551509856e-05
Q01973,49.35008093928145,9.709680551509856e-05
infections_PC_34,15.977003910818647,0.00019419361103019712
Q9Y3P8,125.5187179217094,9.709680551509856e-05
Q04900,107.50739909586542,9.709680551509856e-05
O95994,9.84244356412076,0.002136129721332168
Q9NWZ3,100.93540408602713,9.709680551509856e-05
Q9UQQ2,79.77167268745339,9.709680551509856e-05
Q9Y5A7,65.9625270368449,9.709680551509856e-05
infections_PC_38,0.7058933030688238,0.39304786872511893
P42701,28.382132881641553,0.00019419361103019712
Q9Y286,1.8898558372236853,0.16982231284590737
Q13574,55.82683662893838,9.709680551509856e-05
Q03403,21.61308561737303,9.709680551509856e-05
P31431,169.10541026937344,9.709680551509856e-05
Q12778,145.04758681898173,9.709680551509856e-05
P12034,30.491633625548477,9.709680551509856e-05
P30838,10.779587182478407,0.0011651616661811825
P09668,14.062936487049718,0.00038838722206039424
O75354,48.29444047618417,9.709680551509856e-05
P40259,93.70459275143722,9.709680551509856e-05
Q07325,9.982156794328139,0.001747742499271774
infections_PC_23,0.1635368684585341,0.6889989319351393
Q12968,0.3740945425848167,0.5375279153315856
Q9P0J1,7.184486319178287,0.009709680551509855
P35754,68.96896126193631,9.709680551509856e-05
P49023,140.96159980977274,9.709680551509856e-05
Q9BYZ8,15.59843220343569,0.00029129041654529564
gcs.low,5.642645397276989,0.01815710263132343
P18564,82.48679847780515,9.709680551509856e-05
P53539,51.716206552656224,9.709680551509856e-05
P09769,142.6409529899363,9.709680551509856e-05
context_PC_16,2.920185152196584,0.08709583454704341
Q16773,57.7044901660155,9.709680551509856e-05
Q11201,9.338353980210055,0.002330323332362365
Q13261,33.605724562067856,9.709680551509856e-05
O00748,0.4755336578399204,0.4902417710457326
P80303,119.30667646497845,9.709680551509856e-05
infections_PC_11,0.6945852756282004,0.39780561219535876
O15169,123.59425458762576,9.709680551509856e-05
context_PC_5,3.0010359621094858,0.08495970482571123
P46379,86.54918389826439,9.709680551509856e-05
O43570,10.766513932072971,0.0014564520827264782
P29017,99.4313422096022,9.709680551509856e-05
Q9H6B4,58.143052850051994,9.709680551509856e-05
Q9NXA8,20.056181201485884,9.709680551509856e-05
Q96P31,39.95290372904608,9.709680551509856e-05
Q8WX77,25.771698562328407,9.709680551509856e-05
demographics_PC_3,0.5100067537582216,0.47674531507913387
P39905,6.2463100166837,0.015632585687930866
Q6UWV6,1.0641102520479377,0.3011942907078357
P30048,10.904436023003353,0.002136129721332168
Q9H4D0,0.0672671260662586,0.7939605786969609
P22466,44.97139293609659,9.709680551509856e-05
context_PC_17,3.634410970644404,0.0534032430333042
Q9ULX7,63.19866542889441,9.709680551509856e-05
Q9UBU3,0.02393691102142198,0.8703757646373435
psofa.cns,6.522953239645432,0.012185649092144868
ccc.summary,6.815403051223713,0.008253228468783376
pelod.ren,7.1796547633504275,0.009564035343237208
Q7LG56,26.199654218544136,9.709680551509856e-05
P23582,111.36763647996665,9.709680551509856e-05
Q9Y4K4,98.04563167020736,9.709680551509856e-05
P78556,7.9134882974424,0.004854840275754928
P34130,115.3994812161114,9.709680551509856e-05
Q7L5Y9,22.227341422572735,0.00019419361103019712
P05089,69.781587040943,9.709680551509856e-05
P78310,44.40896492494728,9.709680551509856e-05
infections_PC_27,1.5671853174529864,0.21283619768909603
map.low,13.053418720860646,0.0004854840275754928
hr.high,8.758926028913349,0.003301291387513351
Q02246,57.45921886069143,9.709680551509856e-05
P16278,2.0402648741462457,0.15719972812894456
Q5T4W7,24.82541145426052,9.709680551509856e-05
infections_PC_20,0.02592291848925999,0.8717351199145548
P41236,121.91987335978469,9.709680551509856e-05
Q13145,92.57913861841165,9.709680551509856e-05
P05412,15.458558528304973,0.00019419361103019712
Q9NQ88,65.56935693870479,9.709680551509856e-05
Q13291,0.16379764947513956,0.6881250606855035
P19878,286.1101603532652,9.709680551509856e-05
P51858,129.4512619152585,9.709680551509856e-05
P15514,8.66215756285708,0.003980969026119041
Q8N6P7,11.597108237916746,0.002233226526847267
Q9HAW4,9.972244022242782,0.003010000970968055
Q9UHF4,6.0674494254147575,0.017283231381687542
Q13007,1.769266006824813,0.1798232838139625
P01588,82.32225125924758,9.709680551509856e-05
infections_PC_16,4.8714024573834225,0.028352267210408778
P12724,243.37988349413413,9.709680551509856e-05
Q9UHX3,61.01099972287552,9.709680551509856e-05
anc.low,49.0546715571263,9.709680551509856e-05
Q8N8S7,30.15747876840662,9.709680551509856e-05
Q8IUK5,22.146433091339745,9.709680551509856e-05
Q92520,118.9427744488869,9.709680551509856e-05
P01258,8.101899873648087,0.004563549859209632
Q9NYY1,8.201232246601256,0.008932906107389067
P01579,0.6199852484816714,0.42499271773958636
Q9Y2J8,24.377809241750345,9.709680551509856e-05
infections_PC_8,16.84194720667265,0.00029129041654529564
bili.high,0.3026947611772247,0.5959316438489174
Q8N608,0.7611235278123729,0.3812020584522769
Q9Y5V3,30.627937564559197,9.709680551509856e-05
Q96SB3,153.17368091081298,9.709680551509856e-05
Q03426,29.124801885265022,9.709680551509856e-05
Q13275,67.58624167845656,9.709680551509856e-05
infections_PC_3,1.772710508617141,0.19040683561510827
alat.high,40.40311566555437,9.709680551509856e-05
P19971,3.6447373391558684,0.057481308864938345
P21246,11.690745009530822,0.0007767744441207885
Q641Q3,93.28899292801056,9.709680551509856e-05
Q96JA1,5.893534654295038,0.016603553743081853
infections_PC_36,0.24723219425912196,0.6208369744635401
demographics_PC_5,1.9488809525563595,0.16972521604039228
age.at.bc,23.367864524268573,9.709680551509856e-05
context_PC_13,0.30403314618028104,0.5808330905913196
pelod.resp,10.410356163087695,0.0017962909020293233
Q02790,78.06674780263536,9.709680551509856e-05
context_PC_9,1.820297057557015,0.1751626371492378
Q92844,143.47260863530477,9.709680551509856e-05
P63241,7.443437783089297,0.007185163608117293
infections_PC_12,0.11339624916320354,0.7362850762209924
infections_PC_5,6.600782502822426,0.010389358190115544
P06850,8.679826833176664,0.0037867754150888435
P48061,16.61383347424162,9.709680551509856e-05
P60568,2.7109864924895124,0.09826196718127973
P09960,5.640073042567384,0.018448393047868727
A6NI73,145.78382535055584,9.709680551509856e-05
Q7L8A9,7.477943385068696,0.007476454024662588
O75787,52.285868698806844,9.709680551509856e-05
Q8NC01,37.35982599866744,9.709680551509856e-05
P49763,22.972231537704456,9.709680551509856e-05
Q9NQX5,75.36320642176382,9.709680551509856e-05
O15123,41.24982293688848,9.709680551509856e-05
P01222,27.823285222082188,9.709680551509856e-05
Q13651,12.75903526502765,0.0005825808330905913
P13232,14.920046645745126,9.709680551509856e-05
Q9UMR7,223.74071409536245,9.709680551509856e-05
P25786,10.132545220775821,0.0019419361103019711
Q6EIG7,172.84456650494707,9.709680551509856e-05
P09467,0.0005428258400325424,0.9822312845907369
context_PC_7,63.10013245400482,9.709680551509856e-05
sbp.low,10.598815984438172,0.0011651616661811825
platelets.low,85.72566641200433,9.709680551509856e-05
pelod.hem,306.49323449698517,9.709680551509856e-05
Q8NBJ7,108.64719169810304,9.709680551509856e-05
P02778,19.239834241499093,9.709680551509856e-05
P05112,9.739676579122722,0.0027187105544227595
psofa.hep,0.28383185070140426,0.6008835809301873
infections_PC_18,3.6145428061786946,0.05680163122633265
P40121,133.75792852390757,9.709680551509856e-05
P09417,26.984540897413087,9.709680551509856e-05
,36.686633246437246,9.709680551509856e-05
infections_PC_35,7.981808396731704,0.006990969997087096
Q07954,9.702613649638511,0.002136129721332168
Q9NRJ3,31.349106000403467,9.709680551509856e-05
infections_PC_32,2.8042217174279753,0.09767938634818915
O95831,1.443607145539587,0.22672104087775513
psofa.hem,240.78927756629693,9.709680551509856e-05
temp.low,0.24650055836155388,0.6241868142538111
