,F_stat,p-value
Q11201,0.0011800349492217378,0.9727157976502573
temp.low,0.02365742372278497,0.878289154286824
P49023,0.08252083041927212,0.768521215652005
P12724,0.15761963013631514,0.6949218370715603
P01222,0.07720153212314944,0.7847363821730265
O95544,0.05915476255230741,0.7937663850859307
P51858,0.10232172232554211,0.7425963685794738
crea.high,0.015421995879007631,0.9186328769783474
P58499,8.528098188820751,0.0033983881930284496
A6NI73,2.2037999507078605,0.13778036702592486
O60934,0.009472884611037026,0.9204777162831342
infections_PC_23,1.2268690227999197,0.2517720167006505
P50749,0.026472770555293988,0.8715409263035246
P49771,1.4194374630116513,0.2352655597630838
demographics_PC_5,4.6877422842459255,0.03485775317992038
P19878,1.1838316996878884,0.2728420234974269
Q96LA6,0.42221275299948224,0.5293717836683173
Q9NWQ8,0.6300587603465416,0.41984658704728617
Q9NY25,0.5662086470019084,0.450237887173512
Q7L5Y9,0.8981295245361065,0.3417807554131469
P40121,0.07051942325963369,0.7893970288377512
Q12778,0.3620470084029764,0.5361685600543742
Q8NBJ7,0.6179286860861827,0.4330517525973395
P07332,0.05600507566764751,0.8159044567433732
pelod.ren,4.515170482447842,0.028352267210408778
P19429,2.5759406964784244,0.1074861637052141
infections_PC_17,28.600575649430056,9.709680551509856e-05
context_PC_17,0.07383418813321871,0.7769686377318186
Q9UQV4,0.009483644786175601,0.92610933100301
context_PC_12,1.073586304946643,0.28352267210408777
P27695,0.06554982084924632,0.7971647732789591
Q92844,4.434848618187042,0.03602291484610156
P80303,0.14326285640266767,0.7109428099815516
infections_PC_9,22.33320160006134,0.00019419361103019712
Q9GZY6,0.06738216908723897,0.7884260607826002
P35754,0.017814788598082658,0.8976599669870862
infections_PC_15,0.39576499612805544,0.5303427517234683
Q9P0J1,0.007085540001306432,0.9279541703077969
P10145,1.3538911284168018,0.25128653267307505
O60240,1.9998821246897103,0.15710263132342947
Q8N8S7,0.6085288052690292,0.43751820565103405
infections_PC_16,6.4983203424723905,0.011554519856296727
P40259,0.5273635853285904,0.47616273424604333
infections_PC_38,0.7157491720052869,0.39110593261481696
platelets.low,0.12013718855053,0.7316244295562676
infections_PC_28,0.3394314157978945,0.5579182444897562
psofa.ren,1.6692315253377856,0.16977376444314982
Q02880,0.01163860480196211,0.9120302942033207
P16455,1.4448374844668117,0.2341003980969026
infections_PC_12,3.2646324777329796,0.0676764734440237
psofa.hem,4.092924616033527,0.040295174288765896
O15357,0.04321458712218203,0.832508010486455
P29460,39.96280239128588,9.709680551509856e-05
Q9UKJ0,1.3823843441044255,0.2405087872608991
P41236,0.4632795276588306,0.48878531896300614
Q9NWZ3,4.339200474036202,0.03553743081852607
P61244,0.2667296196998702,0.6054956791921545
sato2.low,8.082046556555177,0.006893873191571997
Q02790,2.3122765499335087,0.13263423633362462
Q9UHX3,0.14144489588120404,0.7042431304010098
Q05084,2.6314762817582356,0.10389358190115545
O15169,0.9611295103924474,0.3303233323623653
P25786,0.28355015131185773,0.5973395475288863
Q96SB3,7.358208229413561,0.006505485969511603
Q9BZR6,0.0002567190063362764,0.9880570929216429
O75356,0.3539301322183152,0.5480143703272162
Q9UN19,6.686659197050053,0.012331294300417517
Q99731,2.5480547859888656,0.10933100301000097
P29017,5.888103794462586,0.016603553743081853
