,F_stat,p-value
infections_PC_13,11.505758708497563,0.000873871249635887
Q15661,9.847262155151963,0.001747742499271774
Q86SR1,0.10175244205475326,0.7533741139916497
infections_PC_6,1.7420700010850099,0.18283328478493058
Q11201,8.805103851638101,0.0033983881930284496
Q9GZV9,0.02345185842251779,0.8808622196329741
P21583,4.830324171877561,0.02738129915525779
Q13007,0.138687369382374,0.7094863578988251
Q9ULX7,1.940455105053022,0.16389940770948636
infections_PC_36,3.7295464043048456,0.05602485678221186
P01588,0.11252736165297043,0.7342460433051753
P29017,0.3713855541224229,0.5419943683852801
P35225,0.035878174057836734,0.8562967278376541
P01138,6.3238936624586515,0.011069035828721235
,3.1870476016245313,0.07321099135838431
P98073,0.33617713173924973,0.5637440528206622
infections_PC_23,1.537060529055127,0.21283619768909603
P42768,1.8149010917806505,0.1798232838139625
Q9Y5V3,2.3063376646146794,0.13176036508398872
O15123,2.335639827243871,0.13010971939023205
O43508,6.977947974981443,0.006214195552966308
context_PC_8,0.8265429566941389,0.36537527915331586
O43570,0.12233673326367892,0.7282260413632391
P06850,0.9574040600226646,0.3210020390329158
Q99748,1.1158485430119767,0.29129041654529564
O60449,6.297097717385772,0.012816778327993009
Q9UNE0,6.629213438557037,0.010874842217691038
P00749,8.516793769010544,0.003980969026119041
Q15517,11.495709217386056,0.0007767744441207885
P00813,8.91116706700094,0.003204194581998252
Q9UKX5,6.706624297791188,0.01009806777357025
P22466,6.888059509270275,0.008641615690843771
O14788,13.570890914548295,0.0005825808330905913
Q02246,13.258135250821708,0.00038838722206039424
infections_PC_21,0.02887281866716817,0.866103505194679
infections_PC_25,0.6686733993532553,0.42023497426934653
P08727,7.285067595292586,0.006990969997087096
P34130,5.7893853748625945,0.017671618603747937
Q15116,1.4412610971345492,0.2211865229633945
Q9H4D0,0.04306126247125093,0.833478978541606
P30203,8.091935810296153,0.004369356248179435
P78556,0.012237653258453662,0.9111564229536848
P01374,10.376913018540732,0.0012622584716962813
Q8NFT8,22.629932220954693,9.709680551509856e-05
P50591,11.95121356930746,0.0004854840275754928
Q01151,7.0529463358549025,0.00873871249635887
Q8IUK5,2.2488703436700868,0.13875133508107584
P09668,0.34533627098084274,0.5589863093504224
Q06418,8.39208788330732,0.00466064666472473
P20783,0.47511101331474737,0.49140693271191377
Q15846,29.086205166011837,9.709680551509856e-05
Q9UHC6,15.449818589891033,9.709680551509856e-05
P29474,0.46665788886282833,0.49344596562773085
P80098,1.2953589075946752,0.2605107291970094
O75569,0.03942060371368205,0.8431886590931158
Q86VZ4,0.24870134341068895,0.6253034275172347
P01135,11.27286545771141,0.0006796776386056899
Q8WTT0,8.402435266835239,0.002427420137877464
P35070,0.26530119705309413,0.599961161277794
P09238,0.13672255259156105,0.7177395863676085
O60880,10.023177405579908,0.0018448393047868724
Q9NQ88,0.503789721830379,0.47820176716186036
infections_PC_7,0.28398102499801653,0.5993785804447034
Q9NRA1,8.552891203492482,0.004563549859209632
infections_PC_31,0.007343175180548774,0.9278570735022817
P61244,0.11455226380521955,0.7377415283037189
Q8WVQ1,3.2090422490886628,0.07049228080396155
P21246,0.24901623674835555,0.6222934265462666
P18564,14.853467134467524,0.00029129041654529564
bili.high,0.609605635513969,0.4365472375958831
Q9UMR7,1.2712107470986225,0.25750072822604136
Q9UKL0,1.9793658729009247,0.16263714923779007
Q9UBU3,1.2052094086242051,0.27128847460918537
Q8NI22,2.556960134031641,0.10845713176036509
Q03426,0.2186689543158378,0.6439460141761336
Q9HBB8,0.011025561312424948,0.9186328769783474
P01732,3.985586022430143,0.04408194970385474
P23229,6.017155555775116,0.013981939994174191
Q01973,9.859920990291245,0.00203903291581707
infections_PC_19,0.03772506844257641,0.850179629090203
Q8IU57,5.99761169232645,0.013205165550053403
Q9UHF1,4.047228181749881,0.043693562481794346
O43736,12.451130970134631,0.000873871249635887
Q9NXA8,1.0317270166655272,0.31216622973104186
Q9BZW8,3.957094676395035,0.04408194970385474
infections_PC_4,22.569572516259228,9.709680551509856e-05
Q02880,0.013682827801414346,0.9063015826779299
infections_PC_20,0.023888321682884416,0.8758131857461889
P49763,0.29136191701912645,0.5909311583648897
Q96PD2,15.377854565134035,9.709680551509856e-05
Q13241,3.525960078352608,0.055442275949121274
P80511,11.807658080568597,0.0006796776386056899
Q9NSA1,0.5440491999189719,0.4635401495290805
Q9BXJ7,0.1123057390709316,0.7324983008059035
context_PC_15,1.4778821274080358,0.22565297601708903
P05112,1.0273815969495599,0.31391397223031364
P53582,0.41433484594259473,0.5173317797844451
P42702,5.6488427590294785,0.01631226332653656
Q6DN72,0.48255340791558665,0.48664918924167394
Q96RT1,0.3287725189198781,0.5657830857364793
Q06830,1.8352694608393045,0.1872997378386251
Q7LG56,0.03073908607644977,0.8669773764443149
Q08334,15.204550106138885,9.709680551509856e-05
P20472,0.000793706180449336,0.9795125740363142
P19878,0.07160103805786242,0.7859986406447228
P06127,12.806675649357327,0.0004854840275754928
P49023,0.4349052052536483,0.5073308088163899
Q99616,16.426213369056107,9.709680551509856e-05
P43629,10.275442114910405,0.0027187105544227595
P09525,0.13925822203695165,0.7135644237304593
infections_PC_38,3.418954852886983,0.06447227886202545
P49788,4.0134562012194275,0.04922808039615496
O76036,5.325954374124138,0.018836780269929118
infections_PC_12,3.108797209746156,0.0803961549665016
P50749,0.002022593610127337,0.9631032139042626
O14713,0.22549552282779978,0.6395766579279542
O75475,2.571454220302365,0.10836003495484998
P78362,11.27204458556225,0.001068064860666084
P25942,12.015308274339846,0.00038838722206039424
P78423,4.327303471924948,0.03747936692882804
O43240,6.946613366080156,0.008932906107389067
Q9Y5A7,1.1266406599994538,0.29264977182250707
P09603,14.390569001153867,0.00019419361103019712
O60240,6.089240141350768,0.011845810272842023
Q8WTU2,7.7161009894638495,0.005825808330905913
O95750,7.818691559091233,0.004563549859209632
Q96D42,1.1646193409888799,0.2836197689096029
P55773,0.42419610265667823,0.5136421011748713
Q9Y3P8,0.05922418923438384,0.816778327993009
Q13651,0.09791347983197024,0.7575492766287989
Q9P0M4,0.4837311433060318,0.48024080007767744
P15692,13.102336853229634,0.00029129041654529564
O95544,3.1887851945284442,0.07282260413632391
cons05.score,0.026481110488569375,0.8369744635401495
Q8NHJ6,1.8470938322676338,0.168462957568696
Q9NP99,10.96942695747814,0.0007767744441207885
infections_PC_10,0.034773507033403844,0.8570735022817749
Q14116,13.01224525512669,0.00029129041654529564
Q13145,3.6472346902478274,0.05680163122633265
Q14435,4.868765223049007,0.028060976793863483
Q9Y478,0.29066990855169555,0.5903485775317993
Q96LA6,2.1455807015505055,0.15088843577046315
Q9HCM2,10.677388730023974,0.0019419361103019711
Q86WD7,6.77216702242042,0.007573550830177687
P30044,1.9504049533917067,0.15739392173997477
context_PC_12,0.665701075524904,0.4070298087192931
Q6UXB4,1.822307237211292,0.1748713467326925
Q96DB9,2.7049845345833066,0.1007864841246723
infections_PC_14,0.5787070148919053,0.4516943392562385
Q9HAW4,0.005759097742108464,0.9395086901640936
context_PC_3,5.840183058154857,0.02204097485192737
P42830,5.400858263900768,0.017186134576172445
P15514,2.0096980406246914,0.1558403728517332
P52888,1.0236554248756913,0.31362268181376834
P27695,0.0010697369726312982,0.9729099912612875
inr.high,0.00045999738698183137,0.9848528983396446
P13725,8.64523756935372,0.0026216137489076608
Q969D9,0.36158983246641035,0.5578211476842412
P80162,11.854277235484368,0.0004854840275754928
P01137,8.182342563963335,0.0041751626371492375
P51617,3.21713491031678,0.0735993785804447
Q02790,0.11846897612746662,0.7356053985823866
O60934,0.09590432609359355,0.7610447616273425
infections_PC_33,0.6784939009971448,0.41382658510535003
P52823,14.44360607847067,0.00029129041654529564
Q12933,10.494289849553109,0.0013593552772113797
Q8WXI8,9.282548275746676,0.002330323332362365
Q12778,0.04731348972521774,0.8321196232643946
P29460,14.974910353842562,0.00019419361103019712
P48740,10.130935729086351,0.0014564520827264782
Q0Z7S8,2.935941783464976,0.08379454315953005
O75354,1.9103908606631959,0.17108457131760366
O95841,0.4265735123141487,0.5142246820079619
Q9NPH0,0.15666621571265651,0.6900669967958054
O14625,0.13685206875463807,0.7150208758131857
O15444,18.404135270262117,9.709680551509856e-05
psofa.hep,0.3831025555331819,0.5472375958830954
P14317,3.7399071703746625,0.04903388678512477
P10747,3.7519579623249455,0.05000485484027575
age.at.bc,4.74917366375353,0.02747839596077289
sato2.low,1.7917889392190443,0.17739586367608506
infections_PC_27,7.620172681111872,0.005437421108845519
Q9Y286,3.0331247972083517,0.08292067190989416
P14210,8.644218630393155,0.003204194581998252
P68106,0.14626828504790015,0.7007476454024663
P42658,0.7615326109781368,0.38518302747839595
Q9BQB4,2.2655897866900885,0.1266142343916885
Q04900,2.726775368656241,0.09894164481988543
Q8N608,5.427650001829016,0.021943878046412273
Q92520,8.774725623240498,0.003107097776483154
Q13478,1.529746665612064,0.21118555199533937
context_PC_16,22.33643135617357,9.709680551509856e-05
Q9UHX3,0.013963028152874382,0.9036799689290222
P26010,0.7122567016073037,0.3877075444217885
infections_PC_8,0.3596277226912594,0.5474317894941256
Q9Y5L3,3.084441290036242,0.07952228371686572
P58499,23.673751962798296,9.709680551509856e-05
infections_PC_34,6.609107783564025,0.011069035828721235
demographics_PC_5,0.5608706793071537,0.45392756578308574
Q15165,10.443799972772077,0.0011651616661811825
Q12913,0.006919713996982962,0.9315467521118556
P40259,6.5638368711901744,0.010000970968055151
Q9H5V8,12.242303009708285,0.0006796776386056899
Q9UKJ0,6.295808573397706,0.011845810272842023
Q8IZP9,14.132609321733035,0.00038838722206039424
Q15797,0.1047593925690651,0.7477424992717739
P16278,0.06565048963113454,0.7932809010583551
infections_PC_1,6.463724037172121,0.011069035828721235
P31431,0.31215691522863964,0.5718030876784154
P80075,4.852250597778148,0.02621613748907661
O14867,6.92832267390001,0.008544518885328672
hr.high,6.780040879627208,0.009224196523934363
infections_PC_18,3.648757463104645,0.055442275949121274
P28325,4.8547572536876045,0.028740654432469172
Q15155,0.3426430771297357,0.5512185649092145
Q13308,10.981391388883996,0.001068064860666084
temp.high,0.0284203947876447,0.8611515681134091
P18627,0.002212988125085816,0.9659190212642004
context_PC_1,8.532370323005427,0.003010000970968055
O00273,12.670545604264877,0.0005825808330905913
Q6ZUJ8,10.637777107834275,0.0007767744441207885
P51858,0.35252675692103747,0.5523837265753957
infections_PC_37,27.005367825625743,9.709680551509856e-05
O00748,1.5471476093815617,0.21327313331391398
Q7L5Y9,0.07859923313758142,0.7778425089814545
infections_PC_5,5.3807406740170425,0.020584522769200895
Q9GZT9,1.0665689200903334,0.3010971939023206
O75787,0.47600069512413307,0.4905330614622779
P03956,1.8460548488230535,0.174385862705117
infections_PC_30,5.701257317105785,0.01893387707544422
psofa.ren,1.6169891973034625,0.2096320031070978
P23582,9.732221017303731,0.0018448393047868724
P01375,9.089087196152143,0.0029129041654529565
Q7Z6M3,7.537818461276717,0.006505485969511603
ccc.summary,8.361356877978,0.0037867754150888435
P40121,0.45840774690453795,0.49364015923876103
P50995,0.1452283569252866,0.7059908729002816
Q9NYY1,1.016493445028879,0.3166326827847364
P28845,7.446119046576919,0.007573550830177687
Q9NZQ7,32.142546314713286,9.709680551509856e-05
Q05084,2.051987584843264,0.14894649966016119
Q13490,4.60901445434535,0.03184775220895233
Q9BYZ8,1.2617191806006114,0.2593455675308282
Q8NC01,0.17256202714037894,0.6784153801339936
O95630,9.301599557672537,0.003301291387513351
pelod.ren,0.9631730282445878,0.32993494514030486
P30838,3.4820816618685306,0.06321002039032916
P20711,1.0153169984300994,0.3143994562578891
Q9H6B4,2.173673911792078,0.1406932711913778
O43557,10.16994787243824,0.001068064860666084
