,F_stat,p-value
O95994,11.421313035739384,0.001068064860666084
infections_PC_18,0.6644623673897175,0.4081949703854743
pelod.cvs,0.9496318904489242,0.3123118749393145
O43570,63.55077607528349,9.709680551509856e-05
pelod.score,1.0958699931048652,0.2939120302942033
Q9GZV9,27.161320483795865,9.709680551509856e-05
Q0Z7S8,37.21597074351453,9.709680551509856e-05
Q8NC01,110.55252801231833,9.709680551509856e-05
P49763,95.54532807718202,9.709680551509856e-05
P18564,101.39893789781806,9.709680551509856e-05
Q9NYY1,15.39299568174818,9.709680551509856e-05
psofa.cvs,0.09803406438741491,0.76604524711137
Q03403,44.393714834275805,9.709680551509856e-05
O75354,95.95081253396336,9.709680551509856e-05
P12034,28.61851291510321,9.709680551509856e-05
Q15517,76.03765858242805,9.709680551509856e-05
psofa.ren,7.532410134060215,0.007525002427420138
fio2.high,2.7672042792183986,0.09554325662685698
lymph.low,6.693064073495895,0.009806777357024954
Q13261,93.13271480988179,9.709680551509856e-05
pelod.ren,8.721953489296501,0.002475968540635013
Q76M96,82.89374278757913,9.709680551509856e-05
O43854,73.217520642138,9.709680551509856e-05
Q8N8S7,74.28526567402841,9.709680551509856e-05
Q7LG56,53.18093776800945,9.709680551509856e-05
temp.high,3.1015172561692284,0.08029905816098651
O15444,76.21823971701176,9.709680551509856e-05
Q5T4W7,41.29564736666555,9.709680551509856e-05
Q07954,86.12578260228622,9.709680551509856e-05
P42701,58.84621739159542,9.709680551509856e-05
P16083,19.320964361103176,0.00019419361103019712
psofa.score,0.6315487283568398,0.4397514321778814
O43827,56.61721170080485,9.709680551509856e-05
map.low,5.888916608957661,0.016991940965142248
Q9Y653,64.21771319040276,9.709680551509856e-05
Q9P0J1,18.678709194436085,9.709680551509856e-05
Q96D42,56.69999004505436,9.709680551509856e-05
demographics_PC_2,2.6637006511981536,0.10437906592873095
P01222,22.356908422066294,9.709680551509856e-05
P80303,151.97562111554342,9.709680551509856e-05
crea.high,4.142582127162019,0.03670259248470725
infections_PC_21,0.0744087825390291,0.784153801339936
P15514,42.75655920182642,9.709680551509856e-05
Q9UHF4,10.010670078867708,0.003010000970968055
P42702,54.288226155495444,9.709680551509856e-05
Q86SR1,84.28521879776697,9.709680551509856e-05
P39905,10.219150187251094,0.0014564520827264782
P30838,12.650046171588212,0.0005825808330905913
infections_PC_31,1.0169768998023867,0.31653558597922127
P01583,4.158410561617422,0.04155743276046218
cons05.score,2.3724010912614015,0.1283619768909603
infections_PC_9,6.8252595443768795,0.008932906107389067
Q9Y5L3,63.50677817343932,9.709680551509856e-05
Q03426,74.03171115835464,9.709680551509856e-05
O95760,17.757697810669647,9.709680551509856e-05
infections_PC_27,0.667562878166543,0.4111078745509273
Q13145,124.18052071689714,9.709680551509856e-05
infections_PC_16,6.575910250824331,0.010292261384600447
P58499,87.63877689910024,9.709680551509856e-05
O15357,56.886272000993614,9.709680551509856e-05
P21583,16.886574068999856,0.00029129041654529564
infections_PC_14,1.6970975407082904,0.1880765122827459
Q13574,57.48244466958928,9.709680551509856e-05
context_PC_17,0.14132583475237165,0.7115253908146422
infections_PC_20,2.4297466564964654,0.12001165161666182
context_PC_16,0.02486461595386325,0.8687251189435867
O94992,113.315000872208,9.709680551509856e-05
Q11201,20.398116011006735,9.709680551509856e-05
demographics_PC_4,3.4300944413014482,0.06524905330614623
P63241,13.030103331469807,0.00019419361103019712
sbp.low,6.1896932011782315,0.012331294300417517
Q9ULX7,68.70136376834819,9.709680551509856e-05
Q9UNE0,51.24071792595937,9.709680551509856e-05
Q13308,111.41380962408375,9.709680551509856e-05
Q9H6B4,101.75047550506906,9.709680551509856e-05
O76036,109.23061992086362,9.709680551509856e-05
Q9BQB4,8.448622990608282,0.0041751626371492375
Q8NDB2,49.55502413058515,9.709680551509856e-05
O95750,21.36306652607269,9.709680551509856e-05
