,F_stat,p-value
Q8WTU2,1.4777758747711591,0.2193734939759036
demographics_PC_4,0.006649000063678893,0.9374457831325301
P23582,15.367749158037814,0.0003855421686746988
Q9UQQ2,0.583667298039862,0.4512771084337349
P30838,7.604472990691219,0.005879518072289157
P49788,0.19816392286752582,0.6783614457831325
Q15797,9.740216163543113,0.0020240963855421685
demographics_PC_6,6.702219832832302,0.01127710843373494
lactate.high,5.227299693221365,0.025156626506024096
Q8IUK5,6.206609855306489,0.015228915662650602
O95994,20.038129843743675,9.63855421686747e-05
P28845,4.605036175098344,0.03508433734939759
infections_PC_22,11.14907880657728,0.0013493975903614457
infections_PC_37,1.9994265365501112,0.15633734939759036
O43854,27.352516349665333,9.63855421686747e-05
O60760,5.9913316346273175,0.016096385542168676
Q9BYZ8,18.272570251609935,0.0001927710843373494
Q15155,8.54057461377286,0.0033734939759036144
Q8N8S7,20.92867133384209,9.63855421686747e-05
Q13145,25.128758007138025,9.63855421686747e-05
Q9P0J1,8.053751588275533,0.0031807228915662652
O00748,2.99063080841004,0.0860722891566265
P35240,5.015678791053744,0.02457831325301205
Q9Y5L3,19.18838648361153,9.63855421686747e-05
Q9BZR6,1.7110358464212219,0.19036144578313252
O14713,1.8114304635834035,0.17542168674698796
Q8IZP9,0.2835131902408031,0.5883373493975904
Q8NDB2,0.759440382985979,0.39074698795180723
cons05.score,256.8794792752999,9.63855421686747e-05
P09238,56.52189501175764,9.63855421686747e-05
P15018,7.174233690137094,0.005397590361445783
infections_PC_17,5.281882225412916,0.025445783132530122
Q9H4D0,16.582773218002295,0.0002891566265060241
context_PC_9,3.1069309258593862,0.07546987951807228
P22466,9.356934142933985,0.0027951807228915665
O15357,8.335609378826014,0.004144578313253012
Q13308,34.44156561712281,9.63855421686747e-05
context_PC_7,0.5697771031547871,0.4544578313253012
temp.low,7.4249057568409125,0.006746987951807229
Q9UMR7,7.486585123939511,0.005975903614457831
Q9BXJ7,23.825043415918607,9.63855421686747e-05
O43240,9.010661830573866,0.002891566265060241
O43570,18.723069597052355,9.63855421686747e-05
pelod.score,238.47165764643668,9.63855421686747e-05
context_PC_13,3.2466116964075398,0.07257831325301205
context_PC_21,5.7488072986197025,0.015132530120481928
Q9UHF4,0.3720114382729623,0.5664578313253013
O75569,7.764839127734661,0.005590361445783133
P35225,0.5202883829736171,0.47450602409638554
Q07011,5.256631075476389,0.02342168674698795
psofa.score,217.04647856408513,9.63855421686747e-05
Q12778,5.837164825148457,0.015132530120481928
P28325,4.463213155219076,0.03508433734939759
O60240,6.801824954578308,0.008963855421686748
Q86WD7,7.633376248867307,0.006072289156626506
Q9Y286,19.140461213803906,9.63855421686747e-05
infections_PC_11,8.020792766978863,0.003759036144578313
Q02246,6.265610052155775,0.01291566265060241
age.at.bc,20.008518911823064,9.63855421686747e-05
P18564,24.954853084466716,9.63855421686747e-05
P34130,3.216392218559492,0.07151807228915663
Q9Y4K4,8.876281155906444,0.00308433734939759
P27540,3.1098088373052537,0.07874698795180723
Q9Y5V3,8.090234679849386,0.003469879518072289
Q92520,23.18012101964079,9.63855421686747e-05
pelod.hem,0.7401159725882978,0.37956626506024094
Q9BQB4,0.004171027595538068,0.9497831325301205
infections_PC_32,0.006071839310508874,0.9352289156626507
context_PC_10,0.09246379085369258,0.7590361445783133
Q9Y653,20.663436533786545,9.63855421686747e-05
P31431,1.298394326114019,0.25416867469879517
O75354,18.95031672344919,9.63855421686747e-05
infections_PC_2,1.4446281491341946,0.22525301204819276
infections_PC_14,0.4500272839570735,0.507855421686747
P48730,2.2072939005447703,0.1326265060240964
Q9Y5A7,3.4882487254971535,0.05918072289156626
demographics_PC_1,0.1171694915675854,0.7378313253012048
P19429,23.957726930905817,9.63855421686747e-05
Q9NWZ3,3.585195785294303,0.0571566265060241
P19971,4.426919899951905,0.04
Q7L8A9,0.025210168365823873,0.8741204819277109
infections_PC_16,0.40850552050914885,0.5258795180722892
Q96SB3,3.9517186598618537,0.04395180722891566
P21246,38.54654555388263,9.63855421686747e-05
Q96RT1,8.18585232821812,0.005783132530120482
Q01973,18.759110389970168,9.63855421686747e-05
Q9HCM2,0.021600324614278733,0.8891566265060241
context_PC_8,0.1984354588706088,0.6583132530120482
context_PC_3,4.723796312079929,0.029397590361445784
hr.high,34.73926668244587,9.63855421686747e-05
P43629,0.27410763744580624,0.6061686746987952
Q9ULX7,1.9794670869141233,0.16
P12034,19.255612460652355,9.63855421686747e-05
Q641Q3,36.25654607639898,9.63855421686747e-05
Q04900,26.490522592262096,9.63855421686747e-05
Q8NHJ6,8.830063955223661,0.0033734939759036144
Q9NQ88,10.52230316003166,0.0012530120481927711
infections_PC_25,0.41431691492767625,0.5107469879518072
P61244,16.19614000558318,9.63855421686747e-05
wcc.high,2.998909243092726,0.08568674698795181
temp.high,7.170229950335385,0.007807228915662651
Q07954,31.27737361476963,9.63855421686747e-05
infections_PC_30,0.02388553905131915,0.8780722891566265
Q05084,9.622395142296881,0.001542168674698795
P21583,0.15782063521500805,0.6906987951807229
Q9NR28,12.067789184566882,0.0009638554216867469
Q96JA1,2.354021077729046,0.1207710843373494
P63241,0.024057419123541434,0.8779759036144579
P06850,20.356090849433834,9.63855421686747e-05
Q76M96,31.798550002252085,9.63855421686747e-05
Q16820,2.9216056731188713,0.08491566265060241
Q9P0M4,30.25884310339391,9.63855421686747e-05
infections_PC_26,1.7059518580723454,0.1988433734939759
Q9UKJ0,21.57414732161196,9.63855421686747e-05
psofa.hem,1.0211602127232826,0.3089156626506024
Q9NYY1,4.6767684457388246,0.027373493975903614
Q9GZM7,2.707182468906781,0.10602409638554217
P40259,4.704946951265693,0.03363855421686747
Q7LG56,10.883109499199524,0.0011566265060240963
Q6WN34,20.31887686935308,9.63855421686747e-05
Q7Z6M3,0.6722173936395054,0.41445783132530123
P01732,5.14736455662779,0.023710843373493978
context_PC_17,7.281024240074384,0.005975903614457831
P08727,30.753117152752843,9.63855421686747e-05
rr.high,14.388620105364133,0.0001927710843373494
pelod.cns,36.80728033902151,9.63855421686747e-05
demographics_PC_3,3.6153554369589096,0.057060240963855424
O95841,15.44841328483211,0.0001927710843373494
O60934,15.6283027567388,0.0001927710843373494
bili.high,1.0445082066369011,0.31296385542168675
Q06830,5.632932889672674,0.01763855421686747
O15169,6.253730963816664,0.010698795180722892
Q9NSA1,23.915912299430357,9.63855421686747e-05
P78310,35.27835228546306,9.63855421686747e-05
platelets.low,0.007997507537778621,0.9334939759036145
Q9NQX5,50.44453722957604,9.63855421686747e-05
Q9H6B4,31.84325320617478,9.63855421686747e-05
P40818,13.925398844419384,0.0002891566265060241
Q05516,20.674056282122795,9.63855421686747e-05
infections_PC_6,0.36122308575842255,0.5512289156626506
Q86SR1,2.437211557787377,0.12260240963855422
psofa.cvs,142.96409084481772,9.63855421686747e-05
P26010,6.9334598872022,0.010120481927710843
Q9Y5K6,10.487307403790966,0.00163855421686747
infections_PC_28,5.733254625386681,0.016867469879518072
infections_PC_23,5.835028795529012,0.018795180722891568
Q99731,0.5448639416733755,0.46236144578313254
context_PC_19,2.0834149658121817,0.15653012048192771
Q03431,9.902778899264229,0.0010602409638554217
Q9UNE0,1.582545790765102,0.20963855421686747
Q8N6P7,0.9435992259582736,0.3473734939759036
P39905,3.389481044496833,0.06689156626506024
Q8NBS9,38.026418069360865,9.63855421686747e-05
Q8NBJ7,6.167356010329603,0.012433734939759036
P09104,8.349172773156315,0.0050120481927710845
Q03426,21.402171938205132,9.63855421686747e-05
P20783,0.17747473490088722,0.6773012048192771
infections_PC_21,1.5088230522913562,0.22602409638554216
P12724,1.4698611359152185,0.23296385542168674
P16278,7.59898050115399,0.0063614457831325305
Q9UN19,0.3301349818020268,0.5663614457831325
pao2.low,2.464437336516518,0.12144578313253013
O43597,0.7244214410296479,0.3938313253012048
infections_PC_20,1.2842824348225879,0.2616867469879518
Q6UWV6,14.515773942866794,9.63855421686747e-05
P42768,4.22639458996686,0.03826506024096386
alat.high,0.33822693636162326,0.5606746987951807
Q9GZY6,21.60086896924677,9.63855421686747e-05
psofa.ren,27.814643180970176,9.63855421686747e-05
crea.high,1.2452868966186645,0.2655421686746988
Q86SJ6,7.535615070269568,0.005879518072289157
P20936,1.5496103208106726,0.21966265060240964
Q02880,19.044548035572646,9.63855421686747e-05
Q9UHL4,0.1367345883752656,0.7027469879518072
pelod.cvs,98.40427064764108,9.63855421686747e-05
infections_PC_13,1.9751107258478615,0.16559036144578312
infections_PC_7,10.004364853483033,0.0014457831325301205
P50225,4.389895289395892,0.036240963855421686
Q13490,10.43009658319611,0.0009638554216867469
Q92844,5.2085249777424005,0.02313253012048193
wcc.low,1.1106024186372805,0.3002409638554217
Q8WVQ1,9.878241032428335,0.0013493975903614457
O75688,3.541076254245949,0.05869879518072289
infections_PC_34,1.2497761122269817,0.26718072289156625
infections_PC_3,1.6242039266729238,0.20163855421686747
Q96D42,39.20765271837214,9.63855421686747e-05
P43234,0.004355780193918682,0.944
P42702,6.140467148530447,0.013204819277108433
P09769,15.600579184221234,0.0002891566265060241
context_PC_6,3.312296166098264,0.07334939759036145
Q15846,4.929918139920177,0.028240963855421686
O14867,0.6842669255106936,0.41156626506024097
P53582,1.2002020161842808,0.2746987951807229
O75791,5.616190424757302,0.018602409638554217
P07947,7.126731913476927,0.0070361445783132534
context_PC_2,1.3067862326536863,0.25387951807228915
P01583,2.956450972941401,0.09156626506024096
P30048,6.086218181364769,0.011855421686746989
Q86VZ4,22.21097539063148,9.63855421686747e-05
context_PC_14,8.353103389547877,0.0029879518072289156
O43557,0.04704038806186445,0.8253493975903614
P09525,11.229142025926116,0.0010602409638554217
O75787,19.326308407933038,9.63855421686747e-05
Q9UHF1,40.41052561016243,9.63855421686747e-05
Q9NRJ3,0.14528046317738344,0.6980240963855422
infections_PC_27,0.6082129618494309,0.432
Q9GZV9,100.47793571465134,9.63855421686747e-05
P00352,9.438564181145075,0.0026987951807228914
P98082,19.87152996254479,9.63855421686747e-05
Q12933,3.851862203801241,0.048096385542168676
context_PC_4,3.365962971965646,0.06496385542168674
P01229,0.17469709164340946,0.6765301204819277
P49023,10.321419558161033,0.0012530120481927711
O75356,3.741318371912989,0.05397590361445783
infections_PC_1,25.423467738272986,9.63855421686747e-05
context_PC_5,0.3619734220504655,0.5539277108433734
P78410,0.10258434124707691,0.7523855421686747
P50135,17.03561324583506,9.63855421686747e-05
Q13291,2.257800255812971,0.1374457831325301
Q8NC01,31.799594370781904,9.63855421686747e-05
P16455,20.908432234099426,9.63855421686747e-05
infections_PC_31,4.326585307984113,0.04028915662650603
Q14435,1.0492966006746833,0.3055421686746988
P51617,1.9547305047090267,0.15874698795180722
P05412,25.390376321668754,9.63855421686747e-05
infections_PC_10,0.9803397404855295,0.32173493975903616
P42701,0.21298785474771428,0.6514698795180723
Q9NZQ7,8.693771126817191,0.002891566265060241
P58499,1.5600546691840873,0.20424096385542168
O95760,20.537067336612637,9.63855421686747e-05
Q9NXA8,1.330712041345585,0.24896385542168675
Q03403,99.96025013253406,9.63855421686747e-05
Q14116,1.2918932006176251,0.2549397590361446
Q06418,12.704804928678204,0.00048192771084337347
context_PC_22,1.0022096895204242,0.3220240963855422
