,F_stat,p-value
P31431,16.450381256949164,0.0001927710843373494
Q8WVQ1,3.0975444235072858,0.07874698795180723
O00161,13.425185237265332,0.0002891566265060241
Q8N1Q1,19.572625584145115,9.63855421686747e-05
P98082,8.839194888924158,0.003566265060240964
Q9UHL4,9.754507930668115,0.0024096385542168677
P46109,13.885325711122139,0.0001927710843373494
Q96RT1,10.933025932323789,0.0008674698795180722
P49788,10.079579952375127,0.0002891566265060241
Q12913,20.262222908747816,9.63855421686747e-05
P12724,16.26018375487759,0.0002891566265060241
Q13574,6.318169972011626,0.013012048192771084
Q9UNK0,15.431255702828674,0.0002891566265060241
P09668,2.6497210234383304,0.09966265060240964
P53539,8.73309039186773,0.004144578313253012
Q04900,3.469730318394597,0.06660240963855421
Q86SR1,5.54554253154205,0.02033734939759036
P55957,16.171470794666337,0.0001927710843373494
P50995,15.79951256962105,9.63855421686747e-05
P35070,8.942221814087413,0.0026987951807228914
Q9P0J1,5.339854668398925,0.02159036144578313
Q9Y478,9.83246932308054,0.0017349397590361445
Q00978,10.19347983950951,0.0018313253012048193
O75787,8.53586281715068,0.00491566265060241
P42768,8.384140496283528,0.004819277108433735
Q9NR28,3.375918330848231,0.06814457831325302
P07947,8.773578854874291,0.004144578313253012
P80303,1.4001190157620031,0.24308433734939758
P16278,7.420121278439614,0.008674698795180723
Q8NBJ7,3.2924412956295264,0.07498795180722892
P34130,1.5076397559723007,0.22419277108433736
P21964,6.822565946684478,0.008385542168674699
Q86SJ6,2.3263343714855536,0.13493975903614458
P43234,2.202812517432454,0.14139759036144578
O75791,7.022140190656138,0.00944578313253012
Q9Y653,0.009669730034388547,0.9178795180722892
P61244,5.089586624475582,0.02506024096385542
P10747,6.882012288017633,0.010024096385542169
Q86WD7,4.452096017212553,0.03691566265060241
P27797,3.7305786253797972,0.05783132530120482
Q02880,5.030498598682435,0.025734939759036145
Q9NQ88,5.63805642682207,0.016192771084337348
Q9UN19,7.776454446693601,0.004819277108433735
P50225,19.51083792468566,0.0001927710843373494
P40818,4.089046039353442,0.04318072289156626
Q8NBS9,6.194722974811319,0.013686746987951807
Q8WTU2,9.76024471713506,0.001542168674698795
P01137,7.816445712731943,0.006746987951807229
Q9C035,13.952541696351762,0.0003855421686746988
P40259,9.74482934367511,0.002216867469879518
P35237,9.288335937413828,0.0023132530120481927
Q0Z7S8,0.8002251678824369,0.3809156626506024
P53582,4.220627556479786,0.035373493975903614
Q9Y5A7,2.861590265395171,0.09233734939759036
Q9NWQ8,12.406968252202335,0.0008674698795180722
Q9UKL0,3.424236387672385,0.06612048192771085
Q96LA6,16.25052102994869,0.0002891566265060241
P41236,5.278803813453833,0.02197590361445783
Q9GZY6,9.68657616295907,0.002216867469879518
Q07954,0.6173843882947629,0.42853012048192773
Q9BQB4,5.005677821150968,0.025156626506024096
Q15797,11.571051072842677,0.00048192771084337347
P40121,8.227829106551997,0.005301204819277108
O15169,10.415036592173097,0.0012530120481927711
O95760,0.18252977174099166,0.7249156626506024
P42701,0.3919435140895449,0.5284819277108433
platelets.low,7.904934253486968,0.005879518072289157
Q9NYY1,0.6414890481806003,0.42978313253012046
O60934,6.580396287471027,0.011662650602409638
P20472,10.465152878107084,0.0012530120481927711
