,0
cate_neonate,0.5564142944157839
eth_asian,0.5934379910950471
eth_mixed,0.43608449979286806
eth_caucasian,0.6273593937741497
eth_african,0.4680206862760503
eth_jewish,0.32116788321167883
sex,0.26152608769373253
ccc.neuro,1.0
ccc.cardio,0.009353296119125923
ccc.pulmo,0.271077238867313
ccc.uro,0.012647426047941798
ccc.gastro,0.3052704133547234
ccc.haemimmuno,0.24145317494394342
ccc.metabol,1.0
ccc.malform,1.0
ccc.onco,0.00016586171211274356
ccc.neo,0.0037840461887147306
ccc.surg,0.10274536899609063
ccc.techdep,0.1765590891069799
ccc.transplant,1.0
cate_comorbidity,0.0016174339816330749
cate_healthy,8.542060227000947e-06
cons05.resp,2.052753597793952e-07
cons05.cvs,0.22347055419340772
cons05.cns,0.0543277375400791
cons05.ren,1.0
cons05.hep,0.5007077598177879
cons05.hem,1.3253650275710649e-05
niv,1.1905494221267521e-07
iv,0.10274536899609063
hfnc,1.0
ecls,1.0
inotrope,0.43608449979286806
crrt,1.0
focus_abdominal,0.32116788321167883
focus_clabsi,2.943008752354503e-11
focus_cns,
focus_earnosethroat,0.24145317494394342
focus_endocarditis,0.1765590891069799
focus_osteoarticular,
focus_other,
focus_pneumonia,0.004893680788723575
focus_primbsi,0.020867148941341288
focus_skin,0.5407900386431944
focus_toxic_shock,
focus_uti,2.5223923611946007e-26
focus_wound,1.0
cahai_ca,0.01639456771822444
cahai_eos,0.0543277375400791
cahai_hai,0.006766831633218937
cahai_los.ca,6.515107058701905e-05
cahai_los.hai,0.002080485030299916
patho_candida,1.0
patho_cons,0.00016586171211274356
patho_ecoli,5.167924776132464e-08
patho_enterococcus,1.0
patho_hinfluenzae,
patho_klebsiella,1.0
patho_nmeningitidis,
patho_othergneg,0.29060064277373227
patho_othergpos,1.0
patho_paeruginosa,0.3856759118690968
patho_sagalactiae,1.0
patho_saureus,0.3052704133547234
patho_spneumoniae,0.03026740274155887
patho_spyogenes,1.0
patho_viridansgroup,0.01647761627526158
abx.change.pen,0.0038986351151776956
abx.change.oxa,0.17582426766231365
abx.change.pip,
abx.change.cla,0.03472467995794122
abx.change.cxm,1.0
abx.change.cro,1.0
abx.change.fep,1.0
abx.change.mem,0.22347055419340772
abx.change.amk,0.5407900386431944
abx.change.van,2.5046933684237093e-05
abx.change.cip,1.0
abx.change.lzd,
abx.change.cli,1.0
abx.change.mtz,
abx.change.sxt,
