,F_stat,p-value
Q9NPH0,4.153673107340207,0.04308433734939759
P61244,105.88864042516053,9.63855421686747e-05
P49023,158.56586081550262,9.63855421686747e-05
Q96RT1,174.9478778952645,9.63855421686747e-05
Q9GZY6,140.54519605939447,9.63855421686747e-05
P49771,49.04956172542525,9.63855421686747e-05
P35070,50.346275285518374,9.63855421686747e-05
P09769,135.25268703491474,9.63855421686747e-05
P80303,10.410094954393898,0.0010602409638554217
Q9NQ88,102.14461363473721,9.63855421686747e-05
O95544,129.94038537283714,9.63855421686747e-05
P50749,176.91191358404015,9.63855421686747e-05
P48730,26.42258177097651,9.63855421686747e-05
Q12913,190.26084033783525,9.63855421686747e-05
P25815,74.75215053390309,9.63855421686747e-05
O14713,21.72927212559557,9.63855421686747e-05
P21246,0.7705475303668357,0.3780240963855422
Q9Y5V3,21.40745177250432,9.63855421686747e-05
Q05084,214.82867502298026,9.63855421686747e-05
O15357,203.4676103662904,9.63855421686747e-05
Q96DB9,33.90837504609041,9.63855421686747e-05
O60934,164.66740313861868,9.63855421686747e-05
inr.high,0.15495843796206643,0.700578313253012
P21964,180.48416294693,9.63855421686747e-05
Q12778,217.69762474886156,9.63855421686747e-05
Q9NY25,47.50209527211232,9.63855421686747e-05
Q13574,134.0730227731127,9.63855421686747e-05
P41236,116.38648405340626,9.63855421686747e-05
Q13490,199.5318260247682,9.63855421686747e-05
Q7LG56,46.33547839557534,9.63855421686747e-05
Q9NWQ8,118.08233076528279,9.63855421686747e-05
Q9Y5A7,168.99390084681795,9.63855421686747e-05
O75569,169.83621952131963,9.63855421686747e-05
P42768,132.52093707077321,9.63855421686747e-05
Q9Y478,107.57285436143614,9.63855421686747e-05
P27695,138.2343274852802,9.63855421686747e-05
P40121,66.07024993856298,9.63855421686747e-05
Q9Y4K4,192.58379115910512,9.63855421686747e-05
Q9NWZ3,232.62203890456126,9.63855421686747e-05
Q9GZT9,134.72913953853856,9.63855421686747e-05
P20472,114.2910410233142,9.63855421686747e-05
Q7L8A9,37.07829865534534,9.63855421686747e-05
Q02880,114.29948298158531,9.63855421686747e-05
O00161,214.40679254691275,9.63855421686747e-05
P98082,129.16047065659214,9.63855421686747e-05
P51858,124.06243491274309,9.63855421686747e-05
Q00978,179.09015410326762,9.63855421686747e-05
P19878,141.17684972396907,9.63855421686747e-05
O00186,71.44508416110551,9.63855421686747e-05
O75475,52.956896860142415,9.63855421686747e-05
O95831,7.522732313021765,0.005397590361445783
P35237,87.78347775469143,9.63855421686747e-05
Q06830,77.95522532837755,9.63855421686747e-05
P50995,146.5285159437706,9.63855421686747e-05
Q6WN34,25.409072347468836,9.63855421686747e-05
P27797,14.272303400993948,0.0002891566265060241
O15169,272.64249657754436,9.63855421686747e-05
Q9NR28,27.043283655017724,9.63855421686747e-05
Q9UNK0,166.83300751785794,9.63855421686747e-05
infections_PC_3,15.286296490981004,9.63855421686747e-05
Q05516,187.02462474994184,9.63855421686747e-05
context_PC_8,8.456688121644165,0.003759036144578313
P07947,145.89997900309356,9.63855421686747e-05
P35754,125.92065557753764,9.63855421686747e-05
demographics_PC_4,0.08664229730621592,0.8345060240963855
P19474,87.75037259387504,9.63855421686747e-05
P51617,143.09641296877356,9.63855421686747e-05
P16083,9.495308069186697,0.0019277108433734939
P40818,184.36448276189165,9.63855421686747e-05
Q9UKL0,37.91698570453714,9.63855421686747e-05
pelod.resp,0.6989113864445461,0.39749397590361446
P01229,2.7705904338359204,0.10149397590361446
P31431,53.557480261633685,9.63855421686747e-05
O95786,153.96931539244855,9.63855421686747e-05
Q07954,1.8400048189398877,0.17734939759036145
P46109,257.8763226898535,9.63855421686747e-05
Q15797,87.1000316612572,9.63855421686747e-05
Q9UN19,97.16695793020855,9.63855421686747e-05
Q96SB3,228.6138614219468,9.63855421686747e-05
P09525,72.55559933465719,9.63855421686747e-05
O75787,15.671205564735258,9.63855421686747e-05
infections_PC_37,3.2047207409070424,0.0731566265060241
P55957,204.04078165940814,9.63855421686747e-05
Q9C035,195.2430130676205,9.63855421686747e-05
Q8NC01,2.0678798814455432,0.14910843373493976
Q14790,176.66097304143764,9.63855421686747e-05
context_PC_20,0.12702599413576243,0.7240481927710843
O75791,215.91634337231272,9.63855421686747e-05
Q04759,142.16921244742545,9.63855421686747e-05
O43597,14.865114316656578,9.63855421686747e-05
P14317,67.92140035125139,9.63855421686747e-05
pelod.cns,0.20847404315290743,0.6928192771084337
Q9UMR7,30.84578543495983,9.63855421686747e-05
P30044,132.43668088649426,9.63855421686747e-05
Q86SR1,8.805395510632284,0.00327710843373494
Q9UQQ2,116.83064126195922,9.63855421686747e-05
O75688,13.202399422196521,0.0001927710843373494
Q03426,19.07030474022041,9.63855421686747e-05
P01588,25.89515431077407,9.63855421686747e-05
P09417,67.9627855108248,9.63855421686747e-05
Q8NDB2,138.48432865297949,9.63855421686747e-05
P53582,5.899117580305695,0.014457831325301205
Q16773,52.290073352556256,9.63855421686747e-05
Q92844,187.8930407125603,9.63855421686747e-05
P13611,2.4754251924752504,0.11595180722891567
context_PC_5,21.05765295068335,9.63855421686747e-05
O75356,5.689449290069723,0.01763855421686747
Q8NBS9,18.109217913109042,0.0002891566265060241
context_PC_18,3.5978472042265926e-05,0.9946024096385542
infections_PC_33,2.518319843634471,0.10853012048192771
pelod.cvs,5.197985152784833,0.023036144578313253
context_PC_11,0.5445579323692644,0.464
platelets.low,18.926687003583783,9.63855421686747e-05
Q04900,27.49034296081332,9.63855421686747e-05
Q9UBU3,25.10466989235609,9.63855421686747e-05
Q7L5Y9,157.37876658635295,9.63855421686747e-05
context_PC_12,0.0007336844466699451,0.9764819277108434
P68106,104.45425285536706,9.63855421686747e-05
Q6EIG7,30.47703415703462,9.63855421686747e-05
Q8N1Q1,214.6823480038862,9.63855421686747e-05
wcc.high,18.723839007687715,9.63855421686747e-05
P53539,17.96468238553305,9.63855421686747e-05
context_PC_13,1.71422936155104,0.19306024096385543
infections_PC_24,0.05831088401106346,0.8102168674698795
infections_PC_16,0.9843671280968571,0.31826506024096385
P05089,163.68683651948126,9.63855421686747e-05
Q99748,0.14046367922993233,0.7186506024096385
P49788,5.238962047938629,0.018795180722891568
map.low,1.1499423982229033,0.28163855421686745
temp.low,0.0006049966828923731,0.9786987951807229
Q96LA6,14.534252263010066,0.0003855421686746988
O60240,8.381499845358228,0.0036626506024096386
P16455,104.49323666359071,9.63855421686747e-05
Q9HCM2,28.553702514241188,9.63855421686747e-05
P01137,11.948866824387276,0.0007710843373493976
P35225,2.967598359639061,0.08385542168674699
infections_PC_8,10.2588062520825,0.0011566265060240963
P50452,19.24074454528279,9.63855421686747e-05
P43629,0.49505580092942936,0.4702650602409639
