,F_stat,p-value
Q15517,0.711274484142619,0.4001927710843374
P01138,1.9489885896329437,0.16404819277108434
Q08334,2.1287155251037784,0.1428433734939759
Q9BXN2,4.086859128457954,0.043566265060240965
Q13241,14.694555720340345,0.0002891566265060241
P01135,0.8632433949071516,0.3550843373493976
P13725,2.413198807190501,0.12356626506024096
Q99616,6.314094916736146,0.013012048192771084
P50591,9.597893478570745,0.0025060240963855423
P78423,0.0010493245421340173,0.9723373493975903
P13500,0.5870677497358662,0.4423132530120482
P48740,4.183038135351939,0.041060240963855424
O76036,2.3602081838676554,0.12337349397590361
Q8IU57,9.50971247209321,0.0025060240963855423
P80162,5.107744775547364,0.02563855421686747
P01374,18.2256360254748,9.63855421686747e-05
P09603,4.870295892983963,0.02766265060240964
Q6ZUJ8,2.305424478469582,0.13127710843373494
P23229,1.0338781885135528,0.3074698795180723
P01137,1.3656839305698696,0.2411566265060241
P52823,3.4500742900540025,0.0636144578313253
P00749,1.339589727161847,0.24848192771084338
Q96PD2,2.472990044564354,0.1143132530120482
Q01151,0.6966407816366363,0.40751807228915665
P78410,0.2850664686099474,0.5950843373493976
P80511,1.7773590248695779,0.18043373493975903
P15692,3.707671793081665,0.05445783132530121
hr.high,35.73992857672119,9.63855421686747e-05
P25942,0.9230959513922046,0.33474698795180724
P28325,10.066427384670417,0.0014457831325301205
Q9UKX5,18.475815342214702,9.63855421686747e-05
Q8NFT8,4.022726149102259,0.04636144578313253
O43557,1.3915499126228337,0.2407710843373494
Q8WXI8,0.09736733843020923,0.756144578313253
P14317,0.0677294455141032,0.7951807228915663
infections_PC_25,0.1653144168145475,0.6822168674698795
infections_PC_31,3.0646134342916214,0.08963855421686746
Q14116,3.606762767846184,0.05840963855421687
P30203,9.56921363116248,0.0026987951807228914
P13232,20.05976981723972,9.63855421686747e-05
P42830,9.921469211168663,0.0018313253012048193
Q12933,0.19272979229356188,0.663421686746988
P06127,4.522855344173459,0.03412048192771085
P29460,5.198158802047466,0.024
Q9NP99,3.615700024598236,0.0556144578313253
Q6DN72,18.403848913594665,9.63855421686747e-05
O00300,1.3165586082985177,0.24896385542168675
Q14203,1.6046550306305207,0.204144578313253
P80075,2.0933350486680715,0.14949397590361446
P09341,2.226359759526416,0.13783132530120482
pao2.low,4.867558213216731,0.02746987951807229
P30044,0.011486543880318374,0.9184578313253012
P14210,0.3717682309685653,0.540433734939759
O95630,0.0245149286939367,0.8755662650602409
infections_PC_20,0.30493669455582245,0.587566265060241
P18627,3.1504600688753457,0.0796144578313253
O43736,1.1457676934726522,0.2834698795180723
P50135,22.715346472297576,9.63855421686747e-05
P01732,13.844634018906806,0.0001927710843373494
P10147,0.24985879516061596,0.6134939759036144
Q9H5V8,2.571162416586876,0.11065060240963856
P21583,3.954357727706177,0.04828915662650603
Q07065,5.8113165494343,0.017349397590361446
Q9UNE0,0.11011584939216956,0.7488192771084338
cap.refill,28.96602748174608,9.63855421686747e-05
P00813,0.1296315970653452,0.7189397590361446
P13236,0.025239181717747902,0.8724819277108433
age.at.bc,20.962531435968277,9.63855421686747e-05
O00273,0.7472170629874579,0.3893012048192771
O60449,1.126206672277645,0.291855421686747
O14867,0.6707534400637535,0.4155180722891566
infections_PC_32,3.997970409545911,0.04713253012048193
Q13261,7.791241416874774,0.0054939759036144575
P01588,4.344102836829258,0.03874698795180723
Q13541,0.9687528368359761,0.32751807228915664
Q14435,4.703961378368561,0.03219277108433735
P43234,0.024358392339967738,0.8746024096385542
context_PC_10,0.10264520442588644,0.7519036144578313
temp.high,6.238988293891541,0.013204819277108433
P20783,2.249053897703432,0.13773493975903614
context_PC_21,3.974169118105662,0.048
infections_PC_1,21.347695987380238,9.63855421686747e-05
Q6UXB4,5.270919051914062,0.022843373493975902
P09668,7.727945096610067,0.004337349397590362
P78362,0.3601195409278932,0.5462168674698795
Q99731,1.7170904726487006,0.19498795180722892
Q13478,0.32735131470406637,0.564433734939759
P01375,0.44586504496844265,0.5000481927710844
Q8WTT0,26.221974298576516,9.63855421686747e-05
Q9BZW8,4.523617761745737,0.03334939759036144
P42702,4.016395399055957,0.04732530120481928
Q9HCM2,2.1730247845815316,0.14640963855421688
O95750,4.753233578793239,0.03132530120481928
O60880,0.3338123500564866,0.5709879518072289
infections_PC_37,1.5428718221042192,0.21831325301204818
P78310,33.76750007530585,9.63855421686747e-05
O43508,15.523806453546577,9.63855421686747e-05
Q6WN34,14.04604752275607,0.0002891566265060241
Q92844,0.3632252764707455,0.5511325301204819
P39905,6.416857494173263,0.012144578313253012
Q9UMR7,2.431017500523604,0.12067469879518072
Q07011,2.833088331883018,0.09436144578313253
Q9NXA8,1.3515512973311063,0.24462650602409639
O15444,0.23197144060282565,0.6267951807228915
Q8N608,2.9333967194682993,0.08616867469879518
context_PC_2,0.07164336014903658,0.7835180722891566
P01222,3.158903794420094,0.07093975903614458
infections_PC_22,11.204805221359747,0.0014457831325301205
infections_PC_21,0.7506019146631868,0.38910843373493975
Q7Z6M3,0.21933748089088173,0.6420240963855421
context_PC_13,0.25690627719603837,0.6090602409638555
P52888,25.20359685233368,9.63855421686747e-05
P49788,0.6752101136598981,0.4373012048192771
O14625,3.9056326995561585,0.0476144578313253
P12724,0.001363321174536597,0.9700240963855422
Q13651,6.828241598474311,0.008867469879518072
Q16552,0.033255492810166466,0.8545542168674699
Q8IXJ6,1.6600293069606593,0.20183132530120482
Q96SB3,0.23543403097497742,0.6302650602409638
O94992,5.507136739804462,0.02216867469879518
P21246,23.854843908544783,9.63855421686747e-05
O14788,18.77116411986087,9.63855421686747e-05
demographics_PC_1,2.797636908253637,0.09696385542168674
P58499,0.000913570878165302,0.9719518072289156
P48061,11.176189111081293,0.0012530120481927711
context_PC_20,1.6742289977586522,0.2045301204819277
infections_PC_28,2.974021123072146,0.08510843373493976
infections_PC_2,1.2250827210270079,0.2668915662650602
P08727,57.58930023821349,9.63855421686747e-05
P51617,0.000788523933281017,0.9779277108433735
P49771,3.563555723073239,0.06178313253012048
P01229,0.01304522538421579,0.912
infections_PC_33,0.39599732219228573,0.5316626506024097
context_PC_8,0.029605705245280035,0.8680481927710844
P19474,1.676569577593746,0.19566265060240964
context_PC_4,4.460394574401872,0.029783132530120483
Q9H4D0,13.132353465247471,0.0003855421686746988
P01579,1.4409446691506842,0.23412048192771084
P98073,0.09062982042728679,0.7583614457831326
P10747,2.4310456899369437,0.12009638554216867
P06850,24.603271166526767,9.63855421686747e-05
P49763,23.61046630547443,9.63855421686747e-05
Q9P0M4,50.45608256348387,9.63855421686747e-05
Q96LA6,0.5030079604134088,0.4743132530120482
Q9P0J1,9.893309308437104,0.0005783132530120482
context_PC_12,2.370141325111423,0.12318072289156627
P55773,2.625000184556701,0.10698795180722892
O75688,5.554353178053485,0.01821686746987952
P35070,0.9246322828868861,0.33763855421686745
Q8N6P7,1.070345609465925,0.32028915662650603
P40259,6.63007337690879,0.010313253012048192
context_PC_11,3.3608941518980378,0.0700722891566265
Q9UQV4,3.57707131608126,0.06332530120481927
Q9UBU3,18.526648455048527,0.0001927710843373494
O60240,4.788377409961746,0.03016867469879518
Q04759,1.7808145199049257,0.17995180722891566
pelod.hem,21.178803620602412,9.63855421686747e-05
demographics_PC_4,0.6060108900527268,0.5320481927710843
wcc.high,0.018704476430471555,0.892144578313253
P10145,4.629979233816245,0.03228915662650603
context_PC_9,5.392642636413427,0.008578313253012048
P34130,3.04018720232655,0.08597590361445784
rr.high,23.80936511380404,9.63855421686747e-05
P78556,53.8595810241601,9.63855421686747e-05
Q13007,17.7107518299054,9.63855421686747e-05
P42701,0.058040792559983734,0.8123373493975904
Q8WX77,50.80666488291227,9.63855421686747e-05
demographics_PC_5,1.829761452743944,0.18428915662650602
pelod.ren,101.82305550029841,9.63855421686747e-05
Q12968,4.6748802737387285,0.031228915662650604
Q14790,1.2841188815303326,0.2567710843373494
Q9UN19,0.3879883664912343,0.5376385542168675
psofa.hem,14.208051997772515,0.0003855421686746988
Q86VZ4,22.009711623114992,9.63855421686747e-05
Q03431,5.373295895512809,0.019855421686746987
P40121,18.827746343754807,9.63855421686747e-05
Q9UHC6,0.16822311705095416,0.6799036144578313
P16278,8.415508626736427,0.00491566265060241
Q9UHL4,0.20864678453868213,0.6379759036144579
bili.high,0.2876378526802627,0.5850602409638554
Q8NDB2,0.13268550195470744,0.7120963855421687
O14713,1.9791213227693716,0.16318072289156627
P09525,6.118837234750738,0.01233734939759036
P16455,16.897628349906554,9.63855421686747e-05
infections_PC_17,7.006086929413372,0.010506024096385543
infections_PC_12,0.5483203823560189,0.47113253012048195
infections_PC_6,0.6513183551071363,0.4328674698795181
Q15661,5.2487557230391095,0.02149397590361446
P21964,23.241984241117418,9.63855421686747e-05
infections_PC_36,0.7925207436280219,0.37773493975903616
infections_PC_26,2.380444238327134,0.12250602409638554
Q9UQQ2,2.4206332819462384,0.12067469879518072
P09038,0.06259859596861532,0.7973975903614458
Q06830,8.173566414468906,0.005301204819277108
O95760,10.53815959234604,0.0002891566265060241
Q04900,24.941617365551092,9.63855421686747e-05
Q8NHJ6,13.267958069123516,0.0006746987951807229
Q99748,0.49242416595969934,0.48934939759036145
cons05.score,348.42592751367005,9.63855421686747e-05
P09467,2.2669019217186115,0.13474698795180723
P18564,21.619747160054555,9.63855421686747e-05
O95831,10.000229962067422,0.0011566265060240963
P05112,4.776075359308224,0.03055421686746988
Q00978,0.4576386319337817,0.49465060240963854
P53539,11.09623956188933,0.0006746987951807229
Q86SJ6,3.3528242672892934,0.06997590361445784
Q6EIG7,0.02648563157256763,0.8707469879518073
infections_PC_27,3.0720608755504233,0.08144578313253012
P29017,11.81176055117061,0.0009638554216867469
context_PC_16,1.9208087452955804,0.1690602409638554
Q9HBB8,3.3150780049989144,0.07171084337349398
P42658,5.311039408129585,0.02149397590361446
pelod.score,727.3265102584927,9.63855421686747e-05
P15018,13.529588865163895,9.63855421686747e-05
Q8NBJ7,4.878223406183409,0.026795180722891568
Q8NI22,41.32320786063423,9.63855421686747e-05
infections_PC_5,0.7134473371474093,0.39942168674698797
Q9UHF4,0.8265297416417833,0.37310843373493974
O00748,0.7745902665286715,0.38313253012048193
P19022,11.326932262264746,0.0011566265060240963
O75356,2.4342106942905017,0.11903614457831325
infections_PC_10,0.016898967730058712,0.896
P23526,6.11492048225081,0.013879518072289156
Q04637,3.9784643330625284,0.047421686746987955
P12034,27.39553632636191,9.63855421686747e-05
Q9Y5A7,3.1457473047157256,0.07614457831325301
context_PC_19,2.3594350793802152,0.12732530120481927
pelod.cvs,192.69536220233994,9.63855421686747e-05
P43629,3.1001592325490974,0.08163855421686747
infections_PC_19,0.961117231865943,0.3352289156626506
psofa.resp,412.9550155813055,9.63855421686747e-05
P51693,0.719006190643292,0.39836144578313254
Q13490,5.970643177999613,0.01416867469879518
Q15155,5.119601553304551,0.022939759036144577
context_PC_6,0.7646047030195395,0.3829397590361446
demographics_PC_2,2.930643229088394,0.0868433734939759
P07332,0.07315156573048935,0.7896867469879518
Q9H6B4,31.806043460823002,9.63855421686747e-05
O75569,4.054209225670597,0.04395180722891566
map.low,147.89846360304077,9.63855421686747e-05
Q03426,14.15832616564571,9.63855421686747e-05
context_PC_5,0.14998121432936296,0.709301204819277
demographics_PC_3,1.6413023831333071,0.1984578313253012
O95786,0.11574234302376915,0.7314698795180723
infections_PC_11,1.331430920355534,0.25387951807228915
Q96D42,28.782595429589968,9.63855421686747e-05
Q8WTU2,2.1074104823513333,0.15267469879518072
P46379,23.3638997374831,9.63855421686747e-05
Q9Y4K4,4.297890226061237,0.03874698795180723
O95994,27.555753446309755,9.63855421686747e-05
O75475,9.28744194106767,0.0029879518072289156
O43240,9.919912194292797,0.0017349397590361445
O43597,0.1862711801677473,0.6641927710843374
Q9GZT9,4.904895937442982,0.03016867469879518
P35240,4.251422698077967,0.034409638554216866
infections_PC_24,5.789479889049954,0.017349397590361446
P30838,8.911069240949875,0.003951807228915662
Q9Y653,15.54341569540256,9.63855421686747e-05
