,0
cate_neonate,0.0010871270607569997
eth_asian,0.6280690615663914
eth_mixed,0.10859378296883279
eth_caucasian,0.09519550548999028
eth_african,0.3579297483882969
eth_jewish,1.0
sex,0.5991807530085914
ccc.neuro,0.5805106792748809
ccc.cardio,0.0389334895375779
ccc.pulmo,1.7994479332691897e-05
ccc.uro,0.10859378296883279
ccc.gastro,0.7320385384524709
ccc.haemimmuno,0.6737447908477118
ccc.metabol,0.28977272727272724
ccc.malform,0.0738534437458097
ccc.onco,0.06063528183248987
ccc.neo,8.062752836201573e-06
ccc.surg,0.015796824055825207
ccc.techdep,1.0
ccc.transplant,1.0
cate_comorbidity,0.7224381935937421
cate_healthy,0.0007852194019213027
cons05.resp,1.2846959779835926e-33
cons05.cvs,1.1732392271721633e-14
cons05.cns,2.538067963732192e-12
cons05.ren,0.0007775708097842291
cons05.hep,0.15600499886015712
cons05.hem,0.0010980210682726694
niv,0.00025873908227823665
iv,2.8910921138969133e-33
hfnc,0.025273899608139937
ecls,0.28977272727272724
inotrope,1.4151098358938474e-13
crrt,0.006468914780654864
focus_abdominal,0.08125815244881483
focus_clabsi,0.0005237602897124637
focus_cns,0.7320385384524709
focus_earnosethroat,1.0
focus_endocarditis,0.5805106792748809
focus_osteoarticular,0.005094907868210646
focus_other,0.5805106792748809
focus_pneumonia,1.0
focus_primbsi,0.8108990744441154
focus_skin,0.1838359512857658
focus_toxic_shock,0.28977272727272724
focus_uti,0.00195901388565739
focus_wound,1.0
cahai_ca,5.36336128308843e-06
cahai_eos,0.08125815244881483
cahai_hai,0.05274932637846755
cahai_los.ca,0.23648856928075268
cahai_los.hai,2.4259609555674354e-05
patho_candida,0.08279220779220779
patho_cons,0.0017618220831399582
patho_ecoli,0.12518450890325275
patho_enterococcus,0.2017465293327362
patho_hinfluenzae,0.0738534437458097
patho_klebsiella,0.05936480777492574
patho_nmeningitidis,0.2017465293327362
patho_othergneg,1.0
patho_othergpos,1.0
patho_paeruginosa,0.2017465293327362
patho_sagalactiae,0.5586040375602441
patho_saureus,0.09807064827335035
patho_spneumoniae,0.3172745748261664
patho_spyogenes,1.0
patho_viridansgroup,0.19539068262081988
abx.change.pen,0.7286342478013075
abx.change.oxa,0.055465833775371565
abx.change.pip,
abx.change.cla,0.10869635723980402
abx.change.cxm,1.0
abx.change.cro,0.26622933136851434
abx.change.fep,1.0
abx.change.mem,0.15600499886015712
abx.change.amk,0.3232076366208108
abx.change.van,0.15600499886015712
abx.change.cip,
abx.change.lzd,
abx.change.cli,1.0
abx.change.mtz,0.4967532467532468
abx.change.sxt,
