,F_stat,p-value
Q96DB9,1.0048459117157018,0.32057888389430983
P23229,0.3715053648340629,0.5394145378796185
P13611,4.521256848150897,0.035741694989584474
Q16552,2.843330755854461,0.09319153601578774
P50225,1.9649283972697291,0.15908343383400944
P78410,0.7244759823203353,0.4055476373204692
O43557,0.0012579851034451165,0.9725907247012389
P68106,0.8358851363075998,0.3589518693125754
P20472,1.3079132888799734,0.25019186492709133
P30044,0.33512895871441406,0.562986514636553
Q04759,0.3673474333011326,0.5408398201951541
Q04900,11.099666840148322,0.0012060081131454884
P55957,0.18933641198493228,0.6589189781822169
Q14203,0.03927998973257147,0.8436574936958667
P35070,0.05267303884842001,0.8153711215875452
P07947,1.8297678265088129,0.17223988597741477
P01135,0.08376118043927205,0.7772174103716698
Q9C035,1.013037157427212,0.30775134305448965
Q7Z6M3,0.5040553562382654,0.48525380988926653
P09038,0.01143756213550948,0.9114132222344041
Q15165,12.866743611687026,0.0002192742023900888
Q8WXI8,0.02376037108285969,0.8780835434711106
Q6DN72,15.174357181650128,0.0001096371011950444
Q13478,0.047164738342410965,0.8313781383620217
Q9Y478,3.3941082908690854,0.06490516390746628
P13236,0.2691927573669192,0.6121039359719329
Q6ZUJ8,0.2360205828668321,0.6341409933121368
Q8N1Q1,0.012268795964067707,0.9126192303475497
Q9HCM2,0.06620747230157133,0.8014472097357745
P01137,0.0018157265492806582,0.967766692248657
P42768,1.3295618230296258,0.2405438000219274
Q05516,6.007688405014062,0.012717903738625152
Q99731,1.856453334691752,0.1743229909001206
O95786,0.788131937841275,0.37342396667032124
P42702,1.0602097193778763,0.30512005262580855
Q6UWV6,10.38747108669586,0.001973467821510799
Q9BZW8,1.4517205004682043,0.23023791250959325
P42701,3.827703094325757,0.051200526258085736
P49788,1.2156349630928067,0.2796842451485583
P13725,1.250929583013126,0.2735445674816358
Q96SB3,0.5369013116257423,0.45992763951321125
P13500,0.17226814694360582,0.6874246244929284
O00273,0.3207527275611376,0.5669334502795746
P10147,0.2868913999894095,0.6072799035193509
P01375,0.7970896394901844,0.3780287249205131
Q13241,9.206170027348362,0.004166209845411687
O43570,12.572680312501934,0.0008770968095603552
Q12913,2.659477262311074,0.09867339107553996
P01138,0.297400874690572,0.595000548185506
O76036,1.1384694846471461,0.29119614077403794
P30048,1.3632839851873024,0.24734130029602017
Q13490,1.977764220592523,0.15765815151847384
Q9BXN2,0.9800536890911241,0.3257318276504769
Q9UNK0,5.496367086005686,0.020063589518693126
Q9NP99,1.6348355477698735,0.20852976647297444
O43597,0.0003817490656078066,0.9837737090231334
Q7L8A9,0.001321721890825798,0.9711654423857033
P51617,0.01693010046972338,0.8957351167635128
P78362,0.20163686083138477,0.6595768007893871
O14867,0.0035175351966591013,0.950553667361035
Q9HBB8,0.20433929381945098,0.6435697840149106
Q05084,1.2599723001190943,0.26159412345137595
Q9NR28,2.482983964468555,0.11402258524284618
Q9H5V8,4.161162534981989,0.04155246135292183
P02778,2.331431245126239,0.12553448086832583
P80511,1.7161403361747827,0.19800460475825019
Q9Y286,0.6624114955478353,0.42001973467821513
Q14790,0.2962051702200924,0.5874355882030479
