,F_stat,p-value
Q9NXA8,0.2181758491774919,0.6432408727113255
Q0Z7S8,8.93691902429599,0.0037276614406315097
Q9Y3P8,0.5748956173035842,0.45006030040565725
P53582,0.08807950588180298,0.7674597083653109
Q9UHF4,0.4838442179940568,0.49281876987172457
Q6UXB4,0.4260549815625147,0.5132112706940029
P25786,0.004876380424335813,0.9474838285275737
Q9BZW8,1.23177508765261,0.2717903738625151
Q03431,4.481149046128523,0.03398750137046377
P28845,2.9013037806659483,0.09034097138471658
paco2.high,4.83770488860562,0.026806271242188356
O43597,0.029548969094659185,0.8576910426488323
P48061,3.5508176601107735,0.059971494353689286
P18627,0.0006660652198579516,0.9790593136717465
Q13241,0.06704939027726622,0.797719548295143
P01374,3.7308615664979303,0.05657274421664291
P01732,0.07523118239378386,0.782699265431422
Q9GZV9,0.6790618473932734,0.42265102510689617
O95502,4.641728647857655,0.031356210941782696
P01583,0.05025556331524866,0.8212915250520776
Q96P31,0.7988601559608741,0.3699155794320798
Q15116,3.797561518304449,0.051967985966451045
Q8WTT0,6.163544098089737,0.01469137156013595
O76036,1.4193691176362333,0.2407630742243175
O95750,0.0640707885479876,0.7992544677118737
lymph.low,10.78357401878687,0.0015349194167306216
Q86SR1,1.9432644986437386,0.16927968424514855
P07947,0.9011953764654658,0.3397653766034426
P30203,0.5022682155649426,0.4810876000438548
temp.low,4.717244680326249,0.029930928626247123
P12034,3.46416052372705,0.059971494353689286
Q9ULX7,8.418098466627011,0.0044951211489968204
P06850,3.3380282658639726,0.0686328253480978
Q14435,0.4639887640853576,0.49446332638965024
wcc.high,2.4893619842146095,0.1254796623177283
Q01151,1.547799592764961,0.21390198443153163
O95841,0.0034201894616710934,0.9538427803968863
Q9UBU3,3.435632180067082,0.06600153491941672
Q9Y2J8,1.8578650248098623,0.1688411358403684
psofa.ren,5.0298398665339,0.028450827760114022
O43508,0.9561705186852817,0.3291305777875233
P48730,0.01895865608565372,0.8947483828527574
P05412,0.06283727749590301,0.8030917662537003
Q8WVQ1,0.7593936346469018,0.392610459379454
P78410,0.006660758131088928,0.9424405218726016
P29017,9.076786541652924,0.0030698388334612432
P05112,0.26912101515479414,0.6081570003289113
Q15155,1.8643278239263354,0.17816028944194715
P15692,0.0014051684026487414,0.9727003618024339
P50591,0.29487289549185336,0.5871066768994628
Q6EIG7,0.00014032322467165756,0.9889266527793005
P53539,0.3183912125976861,0.5712092972261813
Q8IU57,0.0990774629018354,0.7577020063589519
P06127,0.002747118242072517,0.9548295143076417
P20472,0.6750893310864606,0.4109198552790264
Q8IUK5,12.78663798251195,0.0003289113035851332
pelod.resp,7.663871071631317,0.005207762306764609
sbp.low,4.812678353166495,0.026970726893980924
O14788,10.118340195346628,0.001973467821510799
anc.low,0.6070930475625463,0.43805503782479993
P01229,0.11268091565933962,0.7335818440960421
,4.326835483941774,0.039359719329020944
O60449,0.1231621854506062,0.7306216423637759
Q06418,12.014539707026058,0.0003289113035851332
Q8WXI8,0.7161855451387504,0.40609582282644446
O43827,3.4729643476248384,0.06358951869312575
fio2.high,3.5317947105552006,0.0582721192851661
P80162,0.013638419426662647,0.9048349961627015
Q99731,0.13421903988522543,0.7163688192084201
Q99616,0.30355859100355104,0.5850235719767569
P14317,0.7665908456154639,0.3869093301173117
Q86SJ6,3.1040521901361195,0.0772941563425063
pelod.hem,6.549888766733942,0.013595000548185505
P80511,0.23658759288036516,0.627233855936849
Q9NRA1,0.8283452007314995,0.3610349742352812
P23526,8.091450546240205,0.0048240324525819535
P09960,4.447600113977827,0.03607060629316961
P14210,1.7880253930921104,0.18386141870408945
Q07325,0.15317443641193826,0.6946606731718014
P01375,0.468326212834634,0.49347659247889486
P10747,0.7203740464248809,0.392610459379454
P25942,0.18613524013121288,0.6728428900339875
Q16552,0.9243865533420005,0.33823045718671196
O43570,3.959100392407076,0.05076197785330556
P00749,0.2514422862837827,0.61747615393049
Q9NRJ3,0.03763591756872218,0.8428900339875014
Q9NQX5,0.8908162864292736,0.3587325951101853
P51693,11.47113376293335,0.0007674597083653108
P58499,2.3871378140620294,0.12520556956474072
Q6DN72,0.21701713477550866,0.6431312356101304
O43736,0.04922120060910261,0.8262251946058546
P51617,0.0317627779287845,0.8588970507619779
Q9UKX5,0.20312635569385293,0.6483938164674926
Q96RT1,0.3371780382389676,0.5623286920293827
Q13007,17.58955982992874,0.0001096371011950444
P01138,1.083060436800608,0.3013923911851771
P52294,0.12183662867990525,0.7248108760004386
cons05.score,29.933946756485653,0.0001096371011950444
wcc.low,1.139273572319638,0.2923473303365859
Q14116,0.2746978240048019,0.5997149435368929
Q08334,0.27331566188414647,0.6036618791799144
P21246,0.04826077319214206,0.8272119285166101
P55773,2.275313674403482,0.13671746519022038
Q8NFT8,1.8892785873952784,0.16971823264992875
Q9Y5V3,0.27792459656083224,0.60508716149545
Q5T4W7,1.5194018008058736,0.22058984760442935
P13725,0.8585422429800663,0.3634469904615722
P16083,1.7088917186552555,0.1881372656506962
P52823,0.004076799840422594,0.9474838285275737
P09603,0.09452517226728775,0.7503563205788839
P42830,0.8347492594555357,0.3659686437890582
P23582,14.441668483092647,0.0003289113035851332
Q13145,4.176636395917642,0.04100427584694661
P00352,6.075277800738075,0.01469137156013595
Q07954,2.309467083234711,0.12772722289222674
O95831,1.453047743325413,0.22793553338449732
