,0
cate_neonate,0.0006609270822438228
eth_asian,1.0
eth_mixed,0.38568642539396014
eth_caucasian,0.05902124605586774
eth_african,0.0481270942059843
eth_jewish,1.0
sex,0.36764390585681983
ccc.neuro,0.48448206053549114
ccc.cardio,0.010622223689318228
ccc.pulmo,0.1874045218277166
ccc.uro,1.0
ccc.gastro,0.22863436003306487
ccc.haemimmuno,1.0
ccc.metabol,0.5837544188549856
ccc.malform,0.04830995664180725
ccc.onco,0.29975321857146253
ccc.neo,0.0005125610950365983
ccc.surg,3.5976926221863966e-05
ccc.techdep,0.3530847206414114
ccc.transplant,1.0
cate_comorbidity,0.00031702757580473077
cate_healthy,4.318309987558478e-11
cons05.resp,3.5095551474587684e-05
cons05.cvs,4.287565591339407e-06
cons05.cns,0.1917902286329535
cons05.ren,0.07908857408056785
cons05.hep,0.057983314252008776
cons05.hem,0.0002651318706072908
niv,0.0001028732485508178
iv,0.00655499838419087
hfnc,0.12985868341851386
ecls,1.0
inotrope,0.00029719731949493704
crrt,0.5883733319617453
focus_abdominal,0.003944209478176917
focus_clabsi,2.2908928709251255e-05
focus_cns,0.0023686030756239524
focus_earnosethroat,0.4425289365212582
focus_endocarditis,0.21305295718466782
focus_osteoarticular,1.3016953058305058e-18
focus_other,0.12985868341851386
focus_pneumonia,0.01902697667025272
focus_primbsi,0.29975321857146253
focus_skin,1.7633133495167644e-11
focus_toxic_shock,1.0
focus_uti,0.0005125610950365983
focus_wound,0.12985868341851386
cahai_ca,1.4159293884664777e-06
cahai_eos,0.003944209478176917
cahai_hai,0.020462842503015048
cahai_los.ca,0.024351046815578446
cahai_los.hai,0.5855679817928052
patho_candida,1.0
patho_cons,0.0008482493544757918
patho_ecoli,0.0001018876210774547
patho_enterococcus,0.12985868341851386
patho_hinfluenzae,0.10902288906569706
patho_klebsiella,0.07908857408056785
patho_nmeningitidis,1.0
patho_othergneg,0.005935106234736752
patho_othergpos,0.16264618423823632
patho_paeruginosa,0.3170764689874842
patho_sagalactiae,0.009629527391916476
patho_saureus,5.928736845669733e-11
patho_spneumoniae,0.0563163250333342
patho_spyogenes,0.007521084482595126
patho_viridansgroup,0.2504989687997856
abx.change.pen,0.01638412534210621
abx.change.oxa,0.0191252334752324
abx.change.pip,1.0
abx.change.cla,1.0
abx.change.cxm,0.3721542147212459
abx.change.cro,0.01634687720438639
abx.change.fep,0.6915324137471405
abx.change.mem,0.006476383369361486
abx.change.amk,0.04830995664180725
abx.change.van,0.00028933115647590855
abx.change.cip,0.5066719038281029
abx.change.lzd,1.0
abx.change.cli,1.0
abx.change.mtz,1.0
abx.change.sxt,1.0
