,F_stat,p-value
P52888,36.01904923261476,0.0001096371011950444
P43629,9.215527665156205,0.002960201732266199
Q6UWV6,1.5789090979638847,0.20502137923473304
Q07065,83.51145359780527,0.0001096371011950444
Q13490,116.90280123846189,0.0001096371011950444
Q15846,12.516651681808973,0.000548185505975222
Q11201,6.65733417693174,0.011731169827869752
Q9UHL4,22.190152583663334,0.0001096371011950444
P98082,84.82497330435827,0.0001096371011950444
Q96DB9,39.22413484317074,0.0001096371011950444
Q9NR28,8.900700082119773,0.0026312904286810656
P03956,10.692006671282947,0.001644556517925666
Q8N6P7,15.36582015408014,0.0002192742023900888
P21964,76.92040984146709,0.0001096371011950444
P10747,36.798242889886566,0.0001096371011950444
Q8NBS9,93.59858700463687,0.0001096371011950444
P20711,3.480036493163585,0.060410042758469465
P35225,1.2821159146501895,0.26071702664181556
P19474,57.5436062988065,0.0001096371011950444
Q9C035,88.39964173255886,0.0001096371011950444
Q96D42,16.780027793683548,0.0001096371011950444
P49788,0.5904262665400815,0.44688082447100097
Q05084,72.47859868493282,0.0001096371011950444
O00273,75.04775629422888,0.0001096371011950444
Q8WVQ1,91.43570456639395,0.0001096371011950444
P09038,80.64705207884043,0.0001096371011950444
P05089,85.81488550883303,0.0001096371011950444
P35754,73.74902508212533,0.0001096371011950444
Q15155,22.61760587670489,0.0001096371011950444
Q04637,122.02154063370527,0.0001096371011950444
P51858,128.3807062674523,0.0001096371011950444
Q16773,72.57515909696298,0.0001096371011950444
P20936,1.1473744750452726,0.2924021488871834
Q12968,10.63367565176679,0.001973467821510799
P42701,27.193570216761238,0.0001096371011950444
P46379,129.6918931279768,0.0001096371011950444
Q76M96,36.97363961759137,0.0001096371011950444
P10145,4.033715692024129,0.04593794540072361
Q13308,54.40888127598815,0.0001096371011950444
P78410,42.16642271584059,0.0001096371011950444
P09417,42.17479583365028,0.0001096371011950444
Q9P0J1,2.383480071591068,0.12685012608266638
Q641Q3,42.45452214061354,0.0001096371011950444
P19022,68.99554285566887,0.0001096371011950444
Q07954,39.78913717678761,0.0001096371011950444
P30048,3.691055865959424,0.05438000219274202
Q6ZUJ8,67.66569304548003,0.0001096371011950444
O75787,78.93815369408502,0.0001096371011950444
P58499,38.37553452750259,0.0001096371011950444
Q92844,156.27377336038208,0.0001096371011950444
ccc.summary,0.6769337589836109,0.4008332419690823
Q9NPH0,29.417631027621766,0.0001096371011950444
Q9UHX3,60.72713783611132,0.0001096371011950444
Q12933,82.78578457432467,0.0001096371011950444
P49763,26.14593675913126,0.0001096371011950444
P42658,2.6490741927273205,0.10119504440302599
P48730,25.595516592645584,0.0001096371011950444
Q03426,45.22402672237419,0.0001096371011950444
O76036,71.85388931663711,0.0001096371011950444
P35237,143.11809828684324,0.0001096371011950444
Q8NHJ6,16.090087801742506,0.0001096371011950444
Q16820,26.3540260355981,0.0001096371011950444
P51617,140.66962433401292,0.0001096371011950444
O60240,0.9356567911313189,0.3352702554544458
bili.high,2.2993938749555194,0.1276175857910317
Q9GZV9,21.981596980235995,0.0001096371011950444
Q9GZT9,116.8330388178742,0.0001096371011950444
psofa.hep,3.595573199124549,0.059642583050104156
map.low,18.216428270165938,0.0001096371011950444
Q8N608,16.842353643858576,0.0002192742023900888
Q7Z6M3,7.62360102551283,0.0061396776669224865
Q9H6B4,42.459929449121596,0.0001096371011950444
O94992,101.81080778282957,0.0001096371011950444
O95831,7.9017296371115835,0.005920403464532398
Q9Y478,86.21300111455864,0.0001096371011950444
O60880,32.0738757273749,0.0001096371011950444
Q9UHC6,27.866730825019555,0.0001096371011950444
P50452,65.12661192245885,0.0001096371011950444
P78362,19.569356624962438,0.0002192742023900888
psofa.cns,4.989449144055304,0.024065343712312247
Q03431,38.07019187983127,0.0001096371011950444
P49023,149.2192102342602,0.0001096371011950444
Q8WXI8,72.54502340633047,0.0001096371011950444
Q02790,118.51919719015754,0.0001096371011950444
Q6WN34,13.449466003801094,0.000548185505975222
Q9UHF4,3.131740595015272,0.07521105141980046
Q92692,70.74710383094876,0.0001096371011950444
P40818,85.26683597354118,0.0001096371011950444
P49771,36.00052488562404,0.0001096371011950444
Q15661,10.868772176637584,0.0008770968095603552
Q96P31,14.805486371793501,0.0004385484047801776
P00813,29.375082939607665,0.0001096371011950444
P00749,43.95570877264794,0.0001096371011950444
Q9NWQ8,133.62386716474128,0.0001096371011950444
O75475,65.08140180089165,0.0001096371011950444
Q8NI22,28.42510203761455,0.0001096371011950444
Q9NY25,124.1125568664539,0.0001096371011950444
P26010,31.318846200960003,0.0001096371011950444
Q00978,139.8553767689416,0.0001096371011950444
Q92520,93.63155865165751,0.0001096371011950444
pelod.cvs,0.11453522884146135,0.7410919855279027
P09467,0.6407640161588879,0.42604977524394255
psofa.cvs,1.0686709485357715,0.3133428352154369
O14867,108.06028343374011,0.0001096371011950444
Q9Y286,7.263062952990013,0.007564959982458064
Q9UMR7,125.52005644238895,0.0001096371011950444
Q9BXN2,69.57662427032899,0.0001096371011950444
P14784,1.1575013027746135,0.28385045499396994
sbp.low,9.517254277063651,0.0030698388334612432
P80511,39.42131797876853,0.0001096371011950444
Q8NBJ7,86.96138759597865,0.0001096371011950444
Q13651,12.402648004913482,0.000548185505975222
Q8IUK5,17.850077484744975,0.0001096371011950444
Q13574,77.72550279958875,0.0001096371011950444
Q86VZ4,33.98479438177945,0.0001096371011950444
P50749,136.57065424429783,0.0001096371011950444
O95786,99.14019217145015,0.0001096371011950444
P48061,13.987866802262763,0.0002192742023900888
Q13291,0.1548140386611359,0.6948799473741915
P78310,51.20725596079285,0.0001096371011950444
P15514,10.153738918400496,0.0024120162262909767
Q06830,13.548362562466771,0.0001096371011950444
P13725,56.900894452208696,0.0001096371011950444
P80098,5.50286546987447,0.02094068632825348
O75356,12.045563170667599,0.0003289113035851332
Q9UKL0,53.01778284997488,0.0001096371011950444
O95544,188.818232508571,0.0001096371011950444
P30044,188.50192750387882,0.0001096371011950444
Q96JA1,3.6806017948261314,0.06150641377041991
Q01151,55.97446927835279,0.0001096371011950444
O14713,21.66559071832563,0.0001096371011950444
P01222,17.75463269447285,0.0001096371011950444
Q05516,82.41300707689946,0.0001096371011950444
P23229,23.859803173753907,0.0001096371011950444
O15123,26.590755579563915,0.0001096371011950444
P09104,49.393330134159065,0.0001096371011950444
Q06418,10.451803954120955,0.0020831049227058437
Q9Y5K6,63.699122116921735,0.0001096371011950444
P14317,179.5593535024614,0.0001096371011950444
Q9NP99,8.289354365479353,0.004166209845411687
O14625,30.817876935659406,0.0001096371011950444
P23526,23.671421114405895,0.0001096371011950444
Q13261,27.308625651840625,0.0001096371011950444
O75569,153.28318039414629,0.0001096371011950444
P19878,252.11054084070068,0.0001096371011950444
Q13478,37.42262008849123,0.0001096371011950444
Q9BZR6,6.813759247930418,0.008990242297993641
P01135,60.3552406612392,0.0001096371011950444
inr.high,0.0017396598308035292,0.9669992325402916
Q8WTT0,56.35100230764155,0.0001096371011950444
Q07011,87.29899147045009,0.0001096371011950444
P15692,31.552524674980646,0.0001096371011950444
P78556,12.370678449499023,0.0003289113035851332
Q15517,44.42110373812166,0.0001096371011950444
Q5T4W7,14.528586035624867,0.0004385484047801776
O43557,65.40478873782108,0.0001096371011950444
P51693,4.412606606645652,0.039798267733801115
O60449,18.54107335044126,0.0001096371011950444
O95630,76.30129814476328,0.0001096371011950444
Q96SB3,185.95603568112912,0.0001096371011950444
P05112,5.939757230089399,0.012827540839820194
O43736,22.63398329438763,0.0001096371011950444
temp.high,0.001451011981893788,0.9731389102072141
Q08334,35.918303487546865,0.0001096371011950444
Q9NWZ3,118.79677796749174,0.0001096371011950444
Q9Y4K4,124.81689859995834,0.0001096371011950444
Q14203,84.16704558360186,0.0001096371011950444
P12034,11.885315882644337,0.0009867339107553995
P34130,62.35256315935909,0.0001096371011950444
A6NI73,121.03336724842126,0.0001096371011950444
pelod.ren,4.293085079062616,0.03996272338559369
P07332,58.55072185705275,0.0001096371011950444
