,F_stat,p-value
Q16552,0.29885628477917564,0.5880934108102182
O14625,0.006165402093166936,0.935971932902094
P35225,0.8085128729615857,0.3717794101523956
Q9UKX5,9.662128301602634,0.0030698388334612432
P13725,0.10060100355924066,0.7563863611446113
Q7Z6M3,2.5681673052254563,0.10579980265321785
P01135,0.5358398146724184,0.4703431641267405
Q96P31,0.5974384729627387,0.4397544128933231
Q8WXI8,2.449466137844723,0.11468040785001644
O00300,6.791164296988658,0.008551693893213464
P50135,14.555152978963347,0.0002192742023900888
temp.high,6.3794011209192565,0.013595000548185505
P00352,7.607791176433221,0.00723604867887293
Q9H5V8,6.031675626168559e-06,0.9984650805832693
map.low,69.19081623155375,0.0001096371011950444
P01375,1.0879968414947816,0.29514307641705956
P29460,0.6682791434371991,0.4188137265650696
P28325,3.6913627800393503,0.05416072799035194
Q6UXB4,0.11059897766204743,0.7447648284179367
Q9NP99,0.2069377182627105,0.6556298651463656
P48740,0.3398316717724628,0.5636443372437233
P08727,33.8782905371248,0.0001096371011950444
Q14116,0.10984554544826504,0.7373095055366736
O95750,0.20682231452424304,0.6566165990571209
Q6DN72,4.279438169890033,0.04100427584694661
P06127,0.19257749301827312,0.6611117202061177
Q99616,0.72910151136662,0.40280670979059313
Q99731,0.011857621924721753,0.9122903190439645
P80162,0.3948259748445082,0.5326170376055257
P14210,1.5562100513367636,0.21280561341958118
P09341,0.0028981214346634992,0.9547198772064467
Q9HAW4,12.58947814397004,0.0009867339107553995
P15692,0.00800325816155975,0.9316960859554874
P09603,0.3708768017415234,0.5670430873807697
Q6EIG7,2.91634751836965,0.09143734239666704
P50591,1.505748436781591,0.2257427913605964
Q8IU57,1.5972697878232858,0.2106128713956803
sbp.low,85.38282022741447,0.0001096371011950444
P01579,0.6602802919888388,0.4079596535467602
O43736,0.1353177147193162,0.7128604319701787
Q8NFT8,0.08739335564503534,0.7714066440083324
P80511,0.2707634077157471,0.6053064356978402
P13500,0.13802656043660416,0.7123122464642034
P18627,0.02139407333415734,0.8783028176735007
