,F_stat,p-value
infections_PC_24,2.4426314690875586,0.12146810369938829
Q15155,1.915006521263547,0.16448198854257695
P09525,0.1568151087059782,0.693659578599864
Q9NRA1,0.011752558559212494,0.9099912612875036
lymph.low,3.5268532481560997,0.06155937469657248
Q8NI22,1.0883581380345595,0.29517428876589963
infections_PC_15,0.38284709433909264,0.5370424313040101
P05089,0.013450842195310621,0.9068841635110205
P20783,26.088875496466933,9.709680551509856e-05
Q9NR28,0.6924720190574959,0.40654432469171764
P40121,0.023677431374487672,0.869016409360132
P30048,98.90882160915248,9.709680551509856e-05
Q07065,290.35584284817884,9.709680551509856e-05
P50995,0.9697667754955803,0.3277988154189727
P27695,0.01736303995049676,0.8914457714341198
Q8WX77,2.6721602719838016,0.09787357995921935
Q92692,0.015202150516371206,0.9074667443441111
P09417,0.6285047530489243,0.4318865909311584
context_PC_17,5.033114279425226,0.02553645985047092
Q15165,0.010568057145359182,0.9174677153121662
P01222,0.06745265246774167,0.7966792892513836
Q9Y5L3,0.5581497906084911,0.45159724245072336
Q8NBS9,0.13147284135601442,0.7129818428973687
Q14790,25.75383140026333,9.709680551509856e-05
rr.high,17.52779083836799,0.00029129041654529564
P07332,1.0897344519416792,0.29905816098650356
Q9NPH0,0.293714424778391,0.5928730944751918
Q6WN34,0.9168096806112976,0.33847946402563356
context_PC_15,0.40461484692365857,0.5219924264491699
Q14203,220.8974332604563,9.709680551509856e-05
P28845,108.79476908350394,9.709680551509856e-05
Q9NWQ8,0.3184391501928864,0.5766579279541703
P20711,0.08727080961188884,0.7652199242644917
P23526,0.3329863322463773,0.5658801825419943
Q7L5Y9,1.6254128351946502,0.20225264588795028
hr.high,15.039314672896651,0.00019419361103019712
P13611,1.102534705034552,0.2950771919603845
P07947,0.23883968340580017,0.6257889115448102
P78310,7.14853207069419,0.008447422079813574
infections_PC_29,1.120517508597807,0.29080493251772016
Q99748,10.078280897327618,0.0019419361103019711
O60934,0.19049150268016313,0.6558889212544907
P49023,0.1325495803570679,0.7151179726187008
Q13490,24.577217645109176,9.709680551509856e-05
