,F_stat,p-value
P02778,0.005698632075527624,0.9429397590361446
Q9Y286,0.00420892910069623,0.951710843373494
P20936,0.4316711559018492,0.5140240963855421
O00748,0.01816283858198272,0.891855421686747
Q9NXA8,0.7332170082711778,0.3876626506024096
O95831,2.12176756692379,0.15334939759036145
demographics_PC_2,9.029262383284563e-05,0.992578313253012
Q9UKJ0,1.707800233913276,0.19450602409638554
P19971,0.24570700070087456,0.6345060240963856
P01579,2.0679098647034264,0.15508433734939758
infections_PC_29,0.6051969336330402,0.44134939759036146
P01588,0.009691814932056288,0.9234698795180722
Q9NY25,7.890178738567453,0.005397590361445783
P05112,3.675708349472794,0.06130120481927711
infections_PC_5,0.1090097226176653,0.743132530120482
P48730,0.6026911561442166,0.448
context_PC_16,0.17158889439489428,0.6827951807228916
Q9UHX3,2.100404497210354,0.15219277108433735
P12724,3.639018770091556,0.05378313253012048
P30048,0.27581074085698104,0.6043373493975903
Q8NHJ6,1.312556884519147,0.25918072289156624
P09525,1.8126402298114472,0.18949397590361447
Q9UKL0,3.5284330362701604,0.06448192771084338
context_PC_15,0.0016824532173836402,0.964722891566265
infections_PC_10,0.4871595284341943,0.49349397590361443
Q8WVQ1,0.06797642269201146,0.7938313253012048
O60760,0.09445387399613853,0.7726265060240964
infections_PC_3,0.028872211564586612,0.8626506024096385
infections_PC_16,1.3660184176630454,0.24751807228915662
Q6EIG7,0.47725535072217634,0.49455421686746986
infections_PC_31,0.0011657511878779762,0.975710843373494
Q0Z7S8,0.04231251536435832,0.8379759036144578
Q15155,0.1569129187678963,0.6910843373493976
P01229,0.23248602840801266,0.6318072289156627
Q9UQV4,0.13734030806786393,0.7082409638554217
context_PC_4,0.05175908445167285,0.8276626506024096
Q14790,0.008532059437785374,0.9292530120481928
Q7L8A9,0.0008211773136316872,0.9776385542168675
O00186,0.0858743662466241,0.7701204819277109
P49788,4.250154681511098,0.03248192771084337
P09668,0.6693036103558636,0.4250602409638554
P51858,3.66078094877495,0.059759036144578316
context_PC_14,1.408151753681969,0.23334939759036144
Q9Y2J8,0.733541364425425,0.392
P09960,1.249157372128301,0.26872289156626505
P19474,1.378502546884939,0.24771084337349397
P06850,10.517836906947904,0.0008674698795180722
Q86SJ6,1.0207384461474802,0.31749397590361444
gcs.low,14.434293766088127,9.63855421686747e-05
Q13478,3.281222311863491,0.07180722891566266
O75475,0.24756429535915978,0.624578313253012
P09238,20.59288355381312,9.63855421686747e-05
psofa.cns,14.936102947839768,9.63855421686747e-05
O95544,1.7937769992740773,0.1816867469879518
Q9NRJ3,0.3267751319811651,0.5788915662650602
P80098,0.03224001879279364,0.8634216867469879
Q8N6P7,0.05877688378223762,0.815710843373494
infections_PC_34,2.9277610111934473,0.08867469879518072
context_PC_21,3.0122554034598186,0.07893975903614457
P05412,6.434315828676343,0.012048192771084338
Q03403,22.329207709921224,9.63855421686747e-05
Q07325,0.29719255487481955,0.5817831325301205
Q07954,7.041323016356488,0.008867469879518072
infections_PC_28,0.04990455414968387,0.8214939759036145
P50452,1.8341213956459863,0.176
context_PC_9,4.8596100073450055,0.029397590361445784
P20783,0.013216548420260179,0.9074698795180723
Q9GZT9,1.393574369141341,0.23797590361445783
context_PC_19,0.3237799728614509,0.5666506024096386
A6NI73,9.387452096990732,0.0018313253012048193
infections_PC_30,0.4919232520184566,0.483566265060241
P09104,0.0023263161406758773,0.962987951807229
Q00978,0.04653524115036199,0.8262168674698795
context_PC_17,0.2898440559034833,0.5921927710843373
O95786,1.1380695538702632,0.2944578313253012
Q9NWQ8,7.052670149372535,0.00819277108433735
O43570,5.493611493190544,0.021686746987951807
Q86VZ4,4.187771750546035,0.042891566265060244
P22466,0.7941058396345864,0.37696385542168676
Q8NDB2,1.3637392022801729,0.23922891566265062
P98073,0.8651456680110072,0.34766265060240964
Q9BXJ7,0.14320513356619038,0.7031325301204819
P29474,4.545789249709951,0.03469879518072289
Q9NQ88,4.045070626889603,0.04462650602409639
O43736,1.005961939587656,0.31633734939759034
P07332,0.10087275908721367,0.7521927710843374
pao2.low,0.11817604371567705,0.7457349397590362
P21583,0.24593236744767058,0.6315180722891566
P78556,3.90922894649849,0.048
infections_PC_15,1.3718593355727262,0.24472289156626506
P13232,5.1651194329717764,0.023325301204819276
P09769,5.1923490040004046,0.022939759036144577
paco2.high,2.0992383967072255,0.15334939759036145
Q07011,2.526080597709587,0.11595180722891567
infections_PC_24,0.9916856313184726,0.3183614457831325
Q02790,4.535264308694926,0.03730120481927711
infections_PC_2,4.422369453294772,0.037686746987951804
demographics_PC_6,5.410513518947594,0.01850602409638554
infections_PC_6,0.34298521557037204,0.5547951807228916
Q99748,1.9011656738849037,0.1714698795180723
P55773,0.002197520245519347,0.9633734939759037
context_PC_11,0.26871985743618176,0.6098313253012049
P78362,3.64237853309409,0.06216867469879518
Q9NSA1,2.340145657539515,0.1294457831325301
P25786,0.1432944623780549,0.7129638554216867
Q07065,0.7381319057761674,0.40510843373493977
temp.low,15.004776212261419,0.0005783132530120482
O75791,0.027127407357174827,0.8694939759036144
P27695,4.929550972102044,0.027277108433734938
P27540,0.0303820006607794,0.8641927710843373
P15018,1.0978412842857634,0.3179759036144578
Q6WN34,1.1294732027093572,0.28520481927710845
Q02880,4.653588694897455,0.03219277108433735
Q9P0M4,30.661513805434076,9.63855421686747e-05
O15169,0.0623658137614778,0.8026987951807228
P10145,0.7121274514628781,0.4094457831325301
Q13145,12.716661004886667,0.0006746987951807229
infections_PC_35,3.106313581911712,0.08019277108433735
pelod.resp,5.129994948928051,0.006746987951807229
wcc.low,33.61125309971479,9.63855421686747e-05
Q13261,0.640399553422587,0.42043373493975905
O95760,0.5157115248036281,0.5373493975903615
Q6UWV6,1.526491655641194,0.2206265060240964
Q9Y5V3,0.05703347318704833,0.8122409638554217
Q96D42,1.443755484213114,0.22775903614457832
Q8WTU2,0.8636912304755946,0.35132530120481925
Q13007,2.699587200478538,0.1028433734939759
Q96RT1,0.7723325662849473,0.3833253012048193
Q9UQQ2,5.149135010711139,0.023903614457831325
,19.437174942862814,9.63855421686747e-05
context_PC_13,1.4546014106360723,0.22901204819277107
P12034,11.040614059324477,0.0006746987951807229
Q969D9,1.1003171363544706,0.2986024096385542
Q9BYZ8,9.071597376686569,0.0025060240963855423
Q9Y4K4,0.02216278580935232,0.8820240963855421
Q7Z6M3,1.345469504558666,0.25050602409638556
P61244,1.1606343089702422,0.2853012048192771
infections_PC_9,1.6889160671487242,0.19720481927710842
Q8N608,1.538108317292491,0.21918072289156626
P41236,3.0949710551551997,0.0819277108433735
Q9Y5K6,0.0867950405561783,0.7676144578313253
context_PC_22,1.1614502654951857,0.2834698795180723
O15123,6.393196871303231,0.011373493975903615
P52888,0.32759840234366167,0.5744578313253013
Q9BZR6,0.0378457189649126,0.8484819277108434
P26010,3.5165163442773943,0.05802409638554217
P13236,0.8385001503459852,0.36857831325301205
O75787,3.167706349585375,0.07566265060240963
O14867,2.1295416501421958,0.15065060240963857
P80075,4.635479446750714,0.03248192771084337
P13725,2.490937281664354,0.11913253012048193
Q6ZUJ8,3.103875005328968,0.08530120481927711
Q8NI22,4.665402204654594,0.03518072289156626
anc.low,32.3962077942357,9.63855421686747e-05
P35240,2.4836944933080773,0.11498795180722891
P16083,1.5691712457146085,0.22187951807228914
Q9NR28,2.0554858291374223,0.15893975903614457
Q9UBU3,5.972014895229759,0.01436144578313253
Q641Q3,9.204952994181825,0.0021204819277108435
P31431,0.5932534279688009,0.4328674698795181
